,gaze_velocity_X,gaze_velocity_Y,gaze_velocity_Z,gaze_velocity_total, Timestamp, FixationPointX, FixationPointY, FixationPointZ, dt,Sub_Fixation,dt,FixationGroup,TimeElapsed,TotalFixationDuration,FixationPointX_avg,FixationPointY_avg,FixationPointZ_avg
133820,,,,,2023-12-07 12:55:41.026,-0.08389143,-0.09432675,0.9919893,,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133821,0.1063441666666667,0.009116666666666301,0.00972500000000672,0.10717635476232161,2023-12-07 12:55:41.038,-0.0826153,-0.09421735,0.992106,0.012,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133822,0.029637692307692032,0.060520000000000865,0.00821538461538173,0.06788634435366352,2023-12-07 12:55:41.051,-0.08223001,-0.09343059,0.9922128,0.013000000000000001,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133823,0.043947000000001124,0.09593599999999924,0.012279999999997848,0.10623489683244343,2023-12-07 12:55:41.061,-0.08179054,-0.09247123,0.9923356,0.01,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133824,0.04915090909090894,0.04964545454545524,0.008718181818185237,0.07040234169189681,2023-12-07 12:55:41.072,-0.08124988,-0.09192513,0.9924315,0.011000000000000001,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133825,0.007025833333332518,0.11557749999999954,0.011499999999997623,0.11636052096943192,2023-12-07 12:55:41.084,-0.08116557,-0.0905382,0.9925695,0.012,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133826,0.1039910000000005,0.030405000000000015,0.011249999999995985,0.10892729045560627,2023-12-07 12:55:41.094,-0.08012566,-0.09023415,0.992682,0.01,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133827,0.8185272727272732,-0.7925172727272727,-0.014690909090907632,1.1394236905468218,2023-12-07 12:55:41.105,-0.07112186,-0.09895184,0.9925204,0.011000000000000001,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133828,0.5176390909090899,-2.3383872727272723,-0.22789999999999802,2.4058145555487185,2023-12-07 12:55:41.116,-0.06542783,-0.1246741,0.9900135,0.011000000000000001,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133829,-0.7350781818181817,1.0833090909090903,0.07890000000000295,1.3115348755680893,2023-12-07 12:55:41.127,-0.07351369,-0.1127577,0.9908814,0.011000000000000001,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133830,0.25309272727272836,0.08326363636363611,0.025627272727267822,0.2676668056488911,2023-12-07 12:55:41.138,-0.07072967,-0.1118418,0.9911633,0.011000000000000001,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133831,-0.17764250000000073,-0.1213166666666661,-0.025841666666664986,0.21666190978912805,2023-12-07 12:55:41.150,-0.07286138,-0.1132976,0.9908532,0.012,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133832,-0.07898583333333306,0.0642916666666662,0.001974999999996655,0.10186304970468325,2023-12-07 12:55:41.162,-0.07380921,-0.1125261,0.9908769,0.012,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133833,0.0592620000000002,0.056810000000000194,0.011060000000007175,0.08283528441431348,2023-12-07 12:55:41.172,-0.07321659,-0.111958,0.9909875,0.01,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133834,-0.012236363636363509,0.1234454545454541,0.012072727272721177,0.12463650984674034,2023-12-07 12:55:41.183,-0.07335119,-0.1106001,0.9911203,0.011000000000000001,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133835,-0.025249090909090773,0.13864545454545465,0.014318181818184781,0.1416512936348619,2023-12-07 12:55:41.194,-0.07362893,-0.109075,0.9912778,0.011000000000000001,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133836,-0.635113000000001,11.1608838,0.5444899999999975,11.192192148099112,2023-12-07 12:55:41.204,-0.07998006,0.002533838,0.9967227,0.01,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133837,1.125642727272728,5.905445636363636,-0.12297272727272585,6.013026027314465,2023-12-07 12:55:41.215,-0.06759799,0.06749374,0.99537,0.011000000000000001,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133838,-0.6222425000000006,4.039930000000001,-0.4147249999999954,4.108554120287483,2023-12-07 12:55:41.227,-0.0750649,0.1159729,0.9903933,0.012,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
133839,0.9692018181818179,-0.9198090909090907,0.16785454545453768,1.3466907872691858,2023-12-07 12:55:41.238,-0.06440368,0.105855,0.9922397,0.011000000000000001,True,,1.0,14.500000000000002,111.20200000000001,-0.15514727317360774,-0.28553913134398706,0.8879254594834545
