TimeShown,TimeAnswered,TimeDiff,IsCorrect,CurrentTrial,StimulusQuestion,TimeoutCounter
1350.621,1391.644,41.02295,True,0,_A1_CI_NSI_R180x,0
1393.722,1418.401,24.6792,True,1,_B1_CI_NSI_R0,0
1420.447,1443.525,23.078,True,2,_A2_AC_SI_R180z,0
1445.566,1460.779,15.21326,False,3,_B2_AC_SI_R180x,0
1485.183,1525.618,40.4353,True,4,_A3_CI_NSI_R120z,0
1527.694,1564.303,36.60925,True,5,_B3_AC_SI_R180y,0
1566.375,1592.413,26.03833,True,6,_A4_AC_SI_R180x,0
1594.462,1607.557,13.0957,False,7,_B4_C_SI_R180y,0
1615.644,1656.856,41.21228,False,8,_A5_AC_SI_R180y,0
1658.91,1675.861,16.95129,False,9,_B5_C_SI_R120z,0
1677.935,1710.448,32.51306,True,10,_A6_AC_SI_R180z,0
1712.519,1724.293,11.77441,False,11,_B6_CI_NSI_R180x,0
1733.976,1771.654,37.67822,True,12,_A7_C_NSI_R180z,0
1773.718,1790.112,16.39331,True,13,_B7_AC_SI_R90z,0
1792.193,1829.221,37.02771,True,14,_A8_C_SI_R180y,0
1831.276,1841.283,10.00769,True,15,_B8_AC_SI_R60z,0
1849.467,1869.253,19.78552,True,16,_A9_C_NSI_R180y,0
1871.335,1902.367,31.03149,True,17,_B9_C_NSI_R90z,0
1904.425,1937.206,32.78125,False,18,_A10_C_SI_R180x,0
1939.298,1975.202,35.90442,True,19,_B10_C_NSI_R180x,0
1979.641,1989.115,9.473999,True,20,_A11_AC_SI_R180y,0
1991.227,2008.288,17.06104,True,21,_B11_CI_NSI_R120z,0
2010.382,2038.615,28.23291,True,22,_A12_C_NSI_R180x,0
2040.702,2076.599,35.89722,False,23,_B12_C_SI_R180x,0
2081.505,2115.924,34.4187,True,24,_A13_CI_NSI_R180x,0
2118.023,2150.877,32.85474,True,25,_B13_AC_SI_R180x,0
2152.962,2180.262,27.30078,True,26,_A14_AC_SI_R180x,0
2182.352,2191.073,8.720947,True,27,_B14_AC_SI_R180y,0
2195.247,2205.864,10.61646,True,28,_A15_C_SI_R120z,0
2207.94,2235.881,27.94043,True,29,_B15_CI_NSI_R180y,0
2237.948,2265.112,27.16309,True,30,_A16_CI_NSI_R0,0
2267.214,2296.376,29.16284,True,31,_B16_C_NSI_R180y,0
