square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0013664999860338867,0.003777400008402765,0.003777400008402765,0.003777400008402765,1599.4918404000346,space,1599.4794193000416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback36,001,2023-12-18_18h19.26.486,untitled,2023.2.3,59.90298113221297,2023-12-18 18h34.21.711158 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,1601.5081757000298,,,,,,,,,,1599.491882000002,1599.5071676999796,1599.5071676999796,1599.5071676999796,1599.5071676999796,1599.5071676999796,1599.5071676999796,1599.5071676999796,1599.5071676999796,1599.5071676999796,1599.5071676999796,1599.5071676999796,1599.5071676999796,1600.4908559999894,1600.4908703999827,1600.507053599984,1601.5081757000298,1601.4916114999796,1601.5062474000151,1601.5081757000298,1601.5081757000298,1601.9906470000278,1602.0073279999779,1604.4905772000202,1604.5070747000282,1604.491173700022,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback36,001,2023-12-18_18h19.26.486,untitled,2023.2.3,59.90298113221297,2023-12-18 18h34.21.711158 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,1604.5070747000282,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604.4918555000331,1604.5070747000282,1604.5070747000282,1604.9904475000221,1605.007220999978,1607.4906272999942,1607.507166400028,1607.4915576000349,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback36,001,2023-12-18_18h19.26.486,untitled,2023.2.3,59.90298113221297,2023-12-18 18h34.21.711158 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,1607.507166400028,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607.4923212000285,1607.507166400028,1607.507166400028,1607.99061909999,1608.00709129998,1610.4904146000044,1610.507104600023,1610.491203600017,space,1,0.5575179000152275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback36,001,2023-12-18_18h19.26.486,untitled,2023.2.3,59.90298113221297,2023-12-18 18h34.21.711158 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,1610.507104600023,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610.4924777999986,1610.507104600023,1610.507104600023,1610.9903847000096,1611.0072399000055,1613.490527499991,1613.5069711999968,1613.4914972999832,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback36,001,2023-12-18_18h19.26.486,untitled,2023.2.3,59.90298113221297,2023-12-18 18h34.21.711158 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,1613.5069711999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613.4922406999976,1613.5069711999968,1613.5069711999968,1613.9902432999806,1614.007076399983,1616.4903735999833,1616.5071319999988,1616.4914142999914,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback36,001,2023-12-18_18h19.26.486,untitled,2023.2.3,59.90298113221297,2023-12-18 18h34.21.711158 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,1616.5071319999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616.4922625999898,1616.5071319999988,1616.5071319999988,1616.9902191000292,1617.0068745000171,1619.4903480000212,1619.5071702999994,1619.4913580000284,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback36,001,2023-12-18_18h19.26.486,untitled,2023.2.3,59.90298113221297,2023-12-18 18h34.21.711158 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,1619.5071702999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619.4921703999862,1619.5071702999994,1619.5071702999994,1619.9903899999917,1620.0069381999783,1622.490199199994,1622.5067590000108,1622.4909812000114,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback36,001,2023-12-18_18h19.26.486,untitled,2023.2.3,59.90298113221297,2023-12-18 18h34.21.711158 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,1622.5067590000108,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622.491682199994,1622.5067590000108,1622.5067590000108,1622.9901347000268,1623.0068851999822,1625.4902115000295,1625.5068980000215,1625.4911231999868,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback36,001,2023-12-18_18h19.26.486,untitled,2023.2.3,59.90298113221297,2023-12-18 18h34.21.711158 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,1625.5068980000215,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625.491825199977,1625.5068980000215,1625.5068980000215,1625.9901073999936,1626.0067906000186,1628.4901560000144,1628.5068594000186,1628.491114799981,space,1,0.46218460000818595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback36,001,2023-12-18_18h19.26.486,untitled,2023.2.3,59.90298113221297,2023-12-18 18h34.21.711158 -0500,
