TimeShown,TimeAnswered,TimeDiff,IsCorrect,CurrentTrial,StimulusQuestion,TimeoutCounter
1428.389,1457.603,29.21448,True,0,_A1_CI_NSI_R180x,0
1459.674,1482.115,22.4408,True,1,_B1_CI_NSI_R0,0
1484.224,1512.011,27.78723,True,2,_A2_AC_SI_R180z,0
1514.077,1537.613,23.53613,True,3,_B2_AC_SI_R180x,0
1545.509,1563.744,18.23572,True,4,_A3_CI_NSI_R120z,0
1565.809,1580.508,14.69885,True,5,_B3_AC_SI_R180y,0
1582.568,1596.097,13.52856,True,6,_A4_AC_SI_R180x,0
1598.161,1610.036,11.87524,True,7,_B4_C_SI_R180y,0
1614.769,1630.427,15.65723,True,8,_A5_AC_SI_R180y,0
1632.506,1654.248,21.74219,True,9,_B5_C_SI_R120z,0
1656.336,1690.727,34.39075,True,10,_A6_AC_SI_R180z,0
1692.823,1705.137,12.31421,True,11,_B6_CI_NSI_R180x,0
1709.937,1725.719,15.78235,True,12,_A7_C_NSI_R180z,0
1727.813,1739.668,11.85547,True,13,_B7_AC_SI_R90z,0
1741.733,1765.257,23.52332,True,14,_A8_C_SI_R180y,0
1767.322,1773.682,6.360474,True,15,_B8_AC_SI_R60z,0
1777.28,1792.887,15.60693,True,16,_A9_C_NSI_R180y,0
1794.96,1815.365,20.40479,True,17,_B9_C_NSI_R90z,0
1817.443,1823.106,5.663452,False,18,_A10_C_SI_R180x,0
1825.181,1851.98,26.79834,True,19,_B10_C_NSI_R180x,0
1855.903,1865.953,10.05078,True,20,_A11_AC_SI_R180y,0
1868.015,1877.704,9.689331,False,21,_B11_CI_NSI_R120z,0
1879.789,1897.732,17.94275,True,22,_A12_C_NSI_R180x,0
1899.826,1916.207,16.38159,False,23,_B12_C_SI_R180x,0
1920.426,1936.922,16.49597,True,24,_A13_CI_NSI_R180x,0
1939.016,1949.279,10.26318,True,25,_B13_AC_SI_R180x,0
1951.349,1971.024,19.67566,False,26,_A14_AC_SI_R180x,0
1973.081,1984.558,11.47632,True,27,_B14_AC_SI_R180y,0
1989.964,2004.711,14.74658,True,28,_A15_C_SI_R120z,0
2006.808,2014.276,7.468018,False,29,_B15_CI_NSI_R180y,0
2016.36,2032.39,16.02966,True,30,_A16_CI_NSI_R0,0
2034.772,2041.653,6.880493,True,31,_B16_C_NSI_R180y,0
