FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,3,1265.42,9.715088,Tutorial,BaselineAquisition
2,1,1292.189,7.005737,Tutorial,FindX
3,3,1326.229,6.61084,Tutorial,McDonalds
4,1,1638.429,6.985229,Rest,Control
5,4,1785.554,8.023193,Experimental,Control
6,5,1875.713,4.87561,Experimental,Control
7,5,1966.392,4.71167,Experimental,Control
8,6,2050.357,2.550049,Experimental,Control
9,5,2155.261,5.966309,Experimental,Control
10,6,2247.027,3.514893,Experimental,Control
11,6,2328.683,2.223633,Experimental,Control
12,7,2413.942,4.939697,Experimental,Control
