TimeShown, TimeAnswered, TimeDiff, IsCorrect, CurrentTrial, StimulusQuestion, TimeoutCounter
1656.924,1698.873,41.94861,True,0,_A1_CI_NSI_R180x,0
1700.948,1728.814,27.86597,True,1,_B1_CI_NSI_R0,0
1730.877,1756.333,25.45642,False,2,_A2_AC_SI_R180z,0
1758.399,1775.458,17.05957,False,3,_B2_AC_SI_R180x,0
1785.554,1810.05,24.49585,True,4,_A3_CI_NSI_R120z,0
1812.259,1830.54,18.28088,True,5,_B3_AC_SI_R180y,0
1832.639,1849.414,16.77454,True,6,_A4_AC_SI_R180x,0
1851.487,1868.768,17.28052,True,7,_B4_C_SI_R180y,0
1875.713,1901.801,26.0874,True,8,_A5_AC_SI_R180y,0
1903.884,1924.746,20.86157,False,9,_B5_C_SI_R120z,0
1926.82,1944.666,17.84607,True,10,_A6_AC_SI_R180z,0
1946.746,1959.596,12.8501,True,11,_B6_CI_NSI_R180x,0
1966.392,1984.751,18.35864,False,12,_A7_C_NSI_R180z,0
1986.826,2004.446,17.62012,True,13,_B7_AC_SI_R90z,0
2006.519,2032.248,25.72925,False,14,_A8_C_SI_R180y,0
2034.318,2045.714,11.39551,True,15,_B8_AC_SI_R60z,0
2050.357,2074.784,24.427,True,16,_A9_C_NSI_R180y,0
2076.996,2099.184,22.18823,True,17,_B9_C_NSI_R90z,0
2101.272,2119.997,18.72437,True,18,_A10_C_SI_R180x,0
2122.099,2147.198,25.09863,True,19,_B10_C_NSI_R180x,0
2155.261,2170.809,15.54761,True,20,_A11_AC_SI_R180y,0
2172.905,2196.508,23.60254,True,21,_B11_CI_NSI_R120z,0
2198.605,2216.153,17.54858,True,22,_A12_C_NSI_R180x,0
2218.24,2241.424,23.18335,False,23,_B12_C_SI_R180x,0
2247.027,2262.765,15.73755,True,24,_A13_CI_NSI_R180x,0
2264.865,2285.966,21.1001,True,25,_B13_AC_SI_R180x,0
2288.057,2304.596,16.53979,True,26,_A14_AC_SI_R180x,0
2306.689,2324.337,17.64795,True,27,_B14_AC_SI_R180y,0
2328.683,2340.474,11.79102,True,28,_A15_C_SI_R120z,0
2342.828,2369.021,26.19287,True,29,_B15_CI_NSI_R180y,0
2371.138,2387.442,16.30371,True,30,_A16_CI_NSI_R0,0
2389.641,2406.904,17.26245,True,31,_B16_C_NSI_R180y,0
