Timestamp, ActivePhase, EndActivePhase, CurrentTrial, StimulusQuestion
0,Start,,99,
443.1895,,EndofStart,99,
443.1895,Calibration,,99,
479.2635,,EndofCalibration,99,
479.2635,Tutorial,,99,
999.236,,EndofTutorial,99,
999.236,Rest,,99,
1299.243,,EndofRest,99,
1299.299,Feedback,,99,
1307.96,Experimental,,99,
1363.092,Experimental,,0,_A1_CI_NSI_R180x
1387.647,Experimental,,1,_B1_CI_NSI_R0
1423.324,Experimental,,2,_A2_AC_SI_R180z
1470.234,Experimental,,3,_B2_AC_SI_R180x
1492.204,Feedback,,99,
1498.507,Experimental,,99,
1498.507,Experimental,,4,_A3_CI_NSI_R120z
1527.873,Experimental,,5,_B3_AC_SI_R180y
1558.285,Experimental,,6,_A4_AC_SI_R180x
1580.708,Experimental,,7,_B4_C_SI_R180y
1622.555,Feedback,,99,
1625.542,Experimental,,99,
1625.542,Experimental,,8,_A5_AC_SI_R180y
1656.729,Experimental,,9,_B5_C_SI_R120z
1687.17,Experimental,,10,_A6_AC_SI_R180z
1717.379,Experimental,,11,_B6_CI_NSI_R180x
1748.483,Feedback,,99,
1750.774,Experimental,,99,
1750.774,Experimental,,12,_A7_C_NSI_R180z
1794.477,Experimental,,13,_B7_AC_SI_R90z
1814.956,Experimental,,14,_A8_C_SI_R180y
1846.208,Experimental,,15,_B8_AC_SI_R60z
1860.491,Feedback,,99,
1862.352,Experimental,,99,
1862.352,Experimental,,16,_A9_C_NSI_R180y
1897.652,Experimental,,17,_B9_C_NSI_R90z
1918.975,Experimental,,18,_A10_C_SI_R180x
1941.453,Experimental,,19,_B10_C_NSI_R180x
1983.552,Feedback,,99,
1985.356,Experimental,,99,
1985.356,Experimental,,20,_A11_AC_SI_R180y
2002.624,Experimental,,21,_B11_CI_NSI_R120z
2031.779,Experimental,,22,_A12_C_NSI_R180x
2051.314,Experimental,,23,_B12_C_SI_R180x
2081.291,Feedback,,99,
2082.922,Experimental,,99,
2082.922,Experimental,,24,_A13_CI_NSI_R180x
2108.751,Experimental,,25,_B13_AC_SI_R180x
2142.108,Experimental,,26,_A14_AC_SI_R180x
2184.521,Experimental,,27,_B14_AC_SI_R180y
2204.502,Feedback,,99,
2208.131,Experimental,,99,
2208.131,Experimental,,28,_A15_C_SI_R120z
2224.013,Experimental,,29,_B15_CI_NSI_R180y
2255.376,Experimental,,30,_A16_CI_NSI_R0
2297.635,Experimental,,31,_B16_C_NSI_R180y
2339.771,Feedback,,99,
2342.349,,EndofExperiment,99,
