square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,"[0.2, -0.1]",None,0,9,9,9,,,,,,,,,434.17086869999184,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.15520459998515,434.17086869999184,434.17086869999184,434.6543063999852,434.6708705999772,437.15425089999917,437.1544699999795,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
8,"[-0.2, -0.1]",None,0,10,10,10,,,,,,,,,437.17097399997874,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.1552817999909,437.17097399997874,437.17097399997874,437.6542160999961,437.67095509998035,440.15436249997583,440.15454899999895,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
9,"[0.2, -0.1]",None,0,11,11,11,,,,,,,,,440.17100939998636,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.15528379997704,440.17100939998636,440.17100939998636,440.65421419998165,440.6709026999888,443.15412679998553,443.1542843999923,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
6,"[-0.3, 0]",None,0,12,12,12,,,,,,,,,443.17092219999176,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.1548675999802,443.17092219999176,443.17092219999176,443.6543565999891,443.67071449998184,446.1540856999927,446.1542403999774,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
9,"[0.2, -0.1]",None,0,13,13,13,,,,,,,,,446.17076419998193,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.15486799998325,446.17076419998193,446.17076419998193,446.65408609999577,446.6708512000041,449.1540813999891,449.15427919998183,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
7,"[0.3, 0]",None,0,14,14,14,,,,,,,,,449.1707846999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.15514950000215,449.1707846999925,449.1707846999925,449.6542319,449.67073260000325,452.1539576999785,452.15411819997826,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
2,"[0.64, 0.4]",None,0,15,15,15,,,,,,,,,452.1704545999819,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.1547406000027,452.1704545999819,452.1704545999819,452.65393839997705,452.6707813999965,455.1540414999763,455.1542491999862,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
2,"[0.64, 0.4]",None,0,16,16,16,,,,,,,,,455.17057190000196,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.1550655000028,455.17057190000196,455.17057190000196,455.6540499999828,455.67050259999814,458.15390659999684,458.15405979999923,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
11,"[-0.64, -0.4]",space,0,17,17,17,,,,,,,,,458.17058360000374,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.15472469999804,458.17058360000374,458.17058360000374,458.65398370000185,458.67070899999817,461.15370579998125,461.15384189999895,space,1,0.31165199997485615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
11,"[-0.64, -0.4]",space,0,18,18,18,,,,,,,,,461.1703318999789,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.154607399978,461.1703318999789,461.1703318999789,461.6539822999912,461.67040499998257,464.15366049998556,464.1537747999828,space,1,0.50069970000186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
