square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 102
,,,,,,,,,,,,,,,,,0.0016354999970644,0.0044592999911401,0.0044592999911401,0.0044592999911401,2427.498266299983,space,2427.4894099000085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback35,1.0,2023-12-18_15h48.45.427,untitled,2023.2.3,60.02123551411256,2023-12-18 16h21.44.030381 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,2429.513976599992,,,,,,,,,,2427.498332899966,2427.512520899967,2427.512520899967,2427.512520899967,2427.512520899967,2427.512520899967,2427.512520899967,2427.512520899967,2427.512520899967,2427.512520899967,2427.512520899967,2427.512520899967,2427.512520899967,2428.496523799986,2428.4965446999704,2428.512447699992,2429.513976599992,2429.496833000012,2429.511978399969,2429.513976599992,2429.513976599992,2429.9959226000065,2430.0289796999714,2432.4955299999856,2432.5123168999853,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback35,1.0,2023-12-18_15h48.45.427,untitled,2023.2.3,60.02123551411256,2023-12-18 16h21.44.030381 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,2432.528955999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,2432.5129829999933,2432.528955999965,2432.528955999965,2432.995616500004,2433.028882399987,2435.495688999974,2435.5125275000173,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback35,1.0,2023-12-18_15h48.45.427,untitled,2023.2.3,60.02123551411256,2023-12-18 16h21.44.030381 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,2435.52897319998,,,,,,,,,,,,,,,,,,,,,,,,,,,,2435.513204799994,2435.52897319998,2435.52897319998,2435.995837099996,2436.028996499983,2438.4957583999785,2438.512512000016,space,1.0,0.4837369999731891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback35,1.0,2023-12-18_15h48.45.427,untitled,2023.2.3,60.02123551411256,2023-12-18 16h21.44.030381 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,2438.5290903999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,2438.513550500007,2438.5290903999994,2438.5290903999994,2439.012447199988,2439.029167600005,2441.512415699981,2441.5126011999964,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback35,1.0,2023-12-18_15h48.45.427,untitled,2023.2.3,60.02123551411256,2023-12-18 16h21.44.030381 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,2441.5289957999776,,,,,,,,,,,,,,,,,,,,,,,,,,,,2441.5133580999973,2441.5289957999776,2441.5289957999776,2441.9957657999767,2442.0290049999894,2444.495729699993,2444.5127252000093,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback35,1.0,2023-12-18_15h48.45.427,untitled,2023.2.3,60.02123551411256,2023-12-18 16h21.44.030381 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,2444.528909400018,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444.513618099998,2444.528909400018,2444.528909400018,2444.9955353999685,2445.028981899988,2447.495723600005,2447.512477399985,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback35,1.0,2023-12-18_15h48.45.427,untitled,2023.2.3,60.02123551411256,2023-12-18 16h21.44.030381 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,2447.5288603999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447.513410399988,2447.5288603999943,2447.5288603999943,2447.995697299979,2448.028896599979,2450.495592499996,2450.5124443999666,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback35,1.0,2023-12-18_15h48.45.427,untitled,2023.2.3,60.02123551411256,2023-12-18 16h21.44.030381 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,2450.528726099961,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450.5131463000143,2450.528726099961,2450.528726099961,2451.012307799974,2451.02882159999,2453.512119299994,2453.512281500007,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback35,1.0,2023-12-18_15h48.45.427,untitled,2023.2.3,60.02123551411256,2023-12-18 16h21.44.030381 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,2453.5287197999714,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453.5129103999643,2453.5287197999714,2453.5287197999714,2454.012085799972,2454.0286889999697,2456.5120241999684,2456.5122221999627,space,1.0,0.3028091000160202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback35,1.0,2023-12-18_15h48.45.427,untitled,2023.2.3,60.02123551411256,2023-12-18 16h21.44.030381 -0500,
9.0,"[0.2, -0.1]",None,0.0,9.0,9.0,9.0,,,,,,,,,2456.528727799974,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456.513143499993,2456.528727799974,2456.528727799974,2457.012070799974,2457.0286422999634,2459.5118877999776,2459.5120383000176,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback35,1.0,2023-12-18_15h48.45.427,untitled,2023.2.3,60.02123551411256,2023-12-18 16h21.44.030381 -0500,
