FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,1,1042.822,12.2887,Tutorial,BaselineAquisition
2,1,1071.137,7.954102,Tutorial,FindX
3,5,1102.684,5.398071,Tutorial,McDonalds
4,1,1413.297,6.530273,Rest,Control
5,3,1497.314,4.498169,Experimental,Control
6,4,1551.039,3.920776,Experimental,Control
7,5,1620.991,4.059082,Experimental,Control
8,5,1689.475,3.545166,Experimental,Control
9,6,1749.255,2.489136,Experimental,Control
10,6,1801.657,4.357544,Experimental,Control
11,7,1868.37,4.078735,Experimental,Control
12,6,1927.244,3.079956,Experimental,Control
