square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,"[0.2, -0.1]",None,0,9,9,9,,,,,,,,,3890.3074283000315,,,,,,,,,,,,,,,,,,,,,,,,,,,,3890.291639299947,3890.3074283000315,3890.3074283000315,3890.7907314000186,3890.8073661000235,3893.290781000047,3893.2909649000503,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
8,"[-0.2, -0.1]",None,0,10,10,10,,,,,,,,,3893.3074867000105,,,,,,,,,,,,,,,,,,,,,,,,,,,,3893.2916802000254,3893.3074867000105,3893.3074867000105,3893.773930400028,3893.80740099994,3896.274019900011,3896.290803299984,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
9,"[0.2, -0.1]",None,0,11,11,11,,,,,,,,,3896.307275100029,,,,,,,,,,,,,,,,,,,,,,,,,,,,3896.291504999972,3896.307275100029,3896.307275100029,3896.7739344999427,3896.8074535999913,3899.273948700051,3899.290821200004,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
6,"[-0.3, 0]",None,0,12,12,12,,,,,,,,,3899.3072835999774,,,,,,,,,,,,,,,,,,,,,,,,,,,,3899.2915655999677,3899.3072835999774,3899.3072835999774,3899.7905176000204,3899.807237299974,3902.2905914000003,3902.2907694999594,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
9,"[0.2, -0.1]",None,0,13,13,13,,,,,,,,,3902.3074181999546,,,,,,,,,,,,,,,,,,,,,,,,,,,,3902.2914501000196,3902.3074181999546,3902.3074181999546,3902.7740717999404,3902.807306300034,3905.273984199972,3905.290801699972,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
7,"[0.3, 0]",None,0,14,14,14,,,,,,,,,3905.3071837000316,,,,,,,,,,,,,,,,,,,,,,,,,,,,3905.2916720999638,3905.3071837000316,3905.3071837000316,3905.7906335999724,3905.807131999987,3908.2905758999987,3908.290745300008,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
2,"[0.64, 0.4]",None,0,15,15,15,,,,,,,,,3908.3069941999856,,,,,,,,,,,,,,,,,,,,,,,,,,,,3908.2914208000293,3908.3069941999856,3908.3069941999856,3908.79051359999,3908.8071628999896,3911.290525499964,3911.2906927999575,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
2,"[0.64, 0.4]",None,0,16,16,16,,,,,,,,,3911.3071654000087,,,,,,,,,,,,,,,,,,,,,,,,,,,,3911.2913440000266,3911.3071654000087,3911.3071654000087,3911.7903860999504,3911.807151100016,3914.290361799998,3914.290535600041,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
11,"[-0.64, -0.4]",space,0,17,17,17,,,,,,,,,3914.3072716000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,3914.291214799974,3914.3072716000024,3914.3072716000024,3914.790406199987,3914.8069998000283,3917.290254099993,3917.290422799997,space,1,0.42621459998190403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
11,"[-0.64, -0.4]",space,0,18,18,18,,,,,,,,,3917.3070019000443,,,,,,,,,,,,,,,,,,,,,,,,,,,,3917.2911583000096,3917.3070019000443,3917.3070019000443,3917.79018380004,3917.8068412999855,3920.2901056000264,3920.290230200044,space,1,0.42541450005955994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
7,"[0.3, 0]",None,0,19,19,19,,,,,,,,,3920.3068907000124,,,,,,,,,,,,,,,,,,,,,,,,,,,,3920.290708699962,3920.3068907000124,3920.3068907000124,3920.79032359994,3920.8069754999597,3923.2899927999824,3923.2901052000234,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
3,"[0, 0.2]",None,0,20,20,20,,,,,,,,,3923.306636500056,,,,,,,,,,,,,,,,,,,,,,,,,,,,3923.2905278999824,3923.306636500056,3923.306636500056,3923.790144199971,3923.8066675999435,3926.290190299973,3926.2903646000195,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
10,"[0, -0.2]",None,0,21,21,21,,,,,,,,,3926.307011099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,3926.2910531000234,3926.307011099998,3926.307011099998,3926.7902151000453,3926.806905800011,3929.2901043000165,3929.2902666999726,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
1,"[-0.64, 0.4]",None,0,22,22,22,,,,,,,,,3929.3067821000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,3929.2909108999884,3929.3067821000004,3929.3067821000004,3929.7899413999403,3929.806650900049,3932.2900289000245,3932.290167500032,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
2,"[0.64, 0.4]",None,0,23,23,23,,,,,,,,,3932.3068020000355,,,,,,,,,,,,,,,,,,,,,,,,,,,,3932.290664799977,3932.3068020000355,3932.3068020000355,3932.790047300048,3932.806644700002,3935.290014100028,3935.2901895999676,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
6,"[-0.3, 0]",None,0,24,24,24,,,,,,,,,3935.306699299952,,,,,,,,,,,,,,,,,,,,,,,,,,,,3935.2908408000367,3935.306699299952,3935.306699299952,3935.790039899992,3935.806590500055,3938.2900475000497,3938.2902186999563,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
3,"[0, 0.2]",None,0,25,25,25,,,,,,,,,3938.3067250000313,,,,,,,,,,,,,,,,,,,,,,,,,,,,3938.2908755999524,3938.3067250000313,3938.3067250000313,3938.7899753999664,3938.8066099999705,3941.289869499975,3941.2900255999994,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
11,"[-0.64, -0.4]",space,0,26,26,26,,,,,,,,,3941.306541500031,,,,,,,,,,,,,,,,,,,,,,,,,,,,3941.290754699963,3941.306541500031,3941.306541500031,3941.78980030003,3941.806551299989,3944.289825899992,3944.2899898999603,space,1,0.35521870001684874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
1,"[-0.64, 0.4]",None,0,27,27,27,,,,,,,,,3944.3064732999774,,,,,,,,,,,,,,,,,,,,,,,,,,,,3944.2909232999664,3944.3064732999774,3944.3064732999774,3944.7897132999497,3944.806345100049,3947.2898385999724,3947.2900055999635,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
3,"[0, 0.2]",None,0,28,28,28,,,,,,,,,3947.306525400025,,,,,,,,,,,,,,,,,,,,,,,,,,,,3947.290660599945,3947.306525400025,3947.306525400025,3947.789774999954,3947.806403400027,3950.289961099974,3950.2901709999423,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
9,"[0.2, -0.1]",None,0,29,29,29,,,,,,,,,3950.306513800053,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950.2910189999966,3950.306513800053,3950.306513800053,3950.7897426999407,3950.806397099979,3953.2896902000066,3953.28989200003,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
8,"[-0.2, -0.1]",None,0,30,30,30,,,,,,,,,3953.3062797000166,,,,,,,,,,,,,,,,,,,,,,,,,,,,3953.2905696999514,3953.3062797000166,3953.3062797000166,3953.7897996000247,3953.8065146999434,3956.2897840000223,3956.289987999946,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
12,"[0.64, -0.4]",None,0,31,31,31,,,,,,,,,3956.3062830000417,,,,,,,,,,,,,,,,,,,,,,,,,,,,3956.290798199945,3956.3062830000417,3956.3062830000417,3956.7897643999895,3956.8064675000496,3959.2895621999633,3959.2897408000426,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
9,"[0.2, -0.1]",None,0,32,32,32,,,,,,,,,3959.306357500027,,,,,,,,,,,,,,,,,,,,,,,,,,,,3959.290435199975,3959.306357500027,3959.306357500027,3959.7895041999873,3959.8061669999734,3962.289540000027,3962.2896988999564,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
11,"[-0.64, -0.4]",space,0,33,33,33,,,,,,,,,3962.306169299991,,,,,,,,,,,,,,,,,,,,,,,,,,,,3962.2903114999644,3962.306169299991,3962.306169299991,3962.78955700004,3962.8063368999865,3965.289600600023,3965.2897980000125,space,1,0.3376754999626428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
7,"[0.3, 0]",None,0,34,34,34,,,,,,,,,3965.306176800048,,,,,,,,,,,,,,,,,,,,,,,,,,,,3965.290699300007,3965.306176800048,3965.306176800048,3965.7895424000453,3965.806169599993,3968.289449600037,3968.2896268999903,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
11,"[-0.64, -0.4]",space,0,35,35,35,,,,,,,,,3968.306193000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,3968.2903191000223,3968.306193000055,3968.306193000055,3968.7896991999587,3968.806207900052,3971.289445400005,3971.2896315000253,space,1,0.4630709000630304,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
