square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 104
9.0,"[0.2, -0.1]",None,0.0,9.0,9.0,9.0,,,,,,,,,1681.8499699999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,1681.8340792999952,1681.8499699999957,1681.8499699999957,1682.333423499993,1682.3501588999934,1684.8333089999942,1684.8498074999952,1684.833714399996,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
8.0,"[-0.2, -0.1]",None,0.0,10.0,10.0,10.0,,,,,,,,,1684.8498074999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684.8340375999978,1684.8498074999952,1684.8498074999952,1685.3333870999925,1685.349917200001,1687.8332031000027,1687.849815499998,1687.8335656999989,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
9.0,"[0.2, -0.1]",None,0.0,11.0,11.0,11.0,,,,,,,,,1687.849815499998,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687.8339227999968,1687.849815499998,1687.849815499998,1688.3332423999964,1688.349774599992,1690.833203400005,1690.8498959999995,1690.8337509999983,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
6.0,"[-0.3, 0]",None,0.0,12.0,12.0,12.0,,,,,,,,,1690.8498959999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.8341287999938,1690.8498959999995,1690.8498959999995,1691.3497762000045,1691.3497762000045,1693.8497385999945,1693.8497385999945,1693.833720399998,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
9.0,"[0.2, -0.1]",None,0.0,13.0,13.0,13.0,,,,,,,,,1693.8497385999945,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693.8340796999985,1693.8497385999945,1693.8497385999945,1694.349801000004,1694.349801000004,1696.850533200006,1696.850533200006,1696.833579099999,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
7.0,"[0.3, 0]",None,0.0,14.0,14.0,14.0,,,,,,,,,1696.850533200006,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696.8339080000003,1696.850533200006,1696.850533200006,1697.3495827000006,1697.3495827000006,1699.849689499999,1699.849689499999,1699.8336034999957,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
2.0,"[0.64, 0.4]",None,0.0,15.0,15.0,15.0,,,,,,,,,1699.849689499999,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699.833937000003,1699.849689499999,1699.849689499999,1700.349734000003,1700.349734000003,1702.8495567999926,1702.8495567999926,1702.8335920999962,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
2.0,"[0.64, 0.4]",None,0.0,16.0,16.0,16.0,,,,,,,,,1702.8495567999926,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702.8340864999918,1702.8495567999926,1702.8495567999926,1703.349728400004,1703.349728400004,1705.8497100999955,1705.8497100999955,1705.8333577000012,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
11.0,"[-0.64, -0.4]",space,0.0,17.0,17.0,17.0,,,,,,,,,1705.8497100999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705.8336712000018,1705.8497100999955,1705.8497100999955,1706.3495149999944,1706.3495149999944,1708.8495650999976,1708.8495650999976,1708.8333495999975,space,1.0,0.3654563000018243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
11.0,"[-0.64, -0.4]",space,0.0,18.0,18.0,18.0,,,,,,,,,1708.8495650999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708.8338033000036,1708.8495650999976,1708.8495650999976,1709.3495245999948,1709.3495245999948,1711.8493996000034,1711.8493996000034,1711.8332089000032,space,1.0,0.43859550000343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
7.0,"[0.3, 0]",None,0.0,19.0,19.0,19.0,,,,,,,,,1711.8493996000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711.8335858999926,1711.8493996000034,1711.8493996000034,1712.3495163000043,1712.3495163000043,1714.849434100004,1714.849434100004,1714.833484200004,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
3.0,"[0, 0.2]",None,0.0,20.0,20.0,20.0,,,,,,,,,1714.849434100004,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714.8338758000027,1714.849434100004,1714.849434100004,1715.349352499994,1715.349352499994,1717.849333399994,1717.849333399994,1717.8332124000008,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
10.0,"[0, -0.2]",None,0.0,21.0,21.0,21.0,,,,,,,,,1717.849333399994,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717.833553999997,1717.849333399994,1717.849333399994,1718.3492992999963,1718.3492992999963,1720.8494018000056,1720.8494018000056,1720.833251899996,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
1.0,"[-0.64, 0.4]",None,0.0,22.0,22.0,22.0,,,,,,,,,1720.8494018000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720.8336076999983,1720.8494018000056,1720.8494018000056,1721.3493508999964,1721.3493508999964,1723.8492962000018,1723.8492962000018,1723.832984599998,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
2.0,"[0.64, 0.4]",None,0.0,23.0,23.0,23.0,,,,,,,,,1723.8492962000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723.8333459999994,1723.8492962000018,1723.8492962000018,1724.349374700003,1724.349374700003,1726.8493913999991,1726.8493913999991,1726.832976699996,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
6.0,"[-0.3, 0]",None,0.0,24.0,24.0,24.0,,,,,,,,,1726.8493913999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726.8332972999924,1726.8493913999991,1726.8493913999991,1727.3492946000042,1727.3492946000042,1729.849159499994,1729.849159499994,1729.8329574999952,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
3.0,"[0, 0.2]",None,0.0,25.0,25.0,25.0,,,,,,,,,1729.849159499994,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729.8332744999934,1729.849159499994,1729.849159499994,1730.349136299992,1730.349136299992,1732.849048499993,1732.849048499993,1732.832889600002,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
11.0,"[-0.64, -0.4]",space,0.0,26.0,26.0,26.0,,,,,,,,,1732.849048499993,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732.833218800006,1732.849048499993,1732.849048499993,1733.3491323000053,1733.3491323000053,1735.8491219999996,1735.8491219999996,1735.832976699996,space,1.0,0.3594070999970427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
1.0,"[-0.64, 0.4]",None,0.0,27.0,27.0,27.0,,,,,,,,,1735.8491219999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,1735.833353199996,1735.8491219999996,1735.8491219999996,1736.3491744000055,1736.3491744000055,1738.8489495999966,1738.8489495999966,1738.8329126000026,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
3.0,"[0, 0.2]",None,0.0,28.0,28.0,28.0,,,,,,,,,1738.8489495999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,1738.833413500004,1738.8489495999966,1738.8489495999966,1739.3491891000012,1739.3491891000012,1741.848937799994,1741.848937799994,1741.8327433999948,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
9.0,"[0.2, -0.1]",None,0.0,29.0,29.0,29.0,,,,,,,,,1741.848937799994,,,,,,,,,,,,,,,,,,,,,,,,,,,,1741.8330827000027,1741.848937799994,1741.848937799994,1742.348948999992,1742.348948999992,1744.848952500004,1744.848952500004,1744.8327280999947,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
8.0,"[-0.2, -0.1]",None,0.0,30.0,30.0,30.0,,,,,,,,,1744.848952500004,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744.833074299997,1744.848952500004,1744.848952500004,1745.349031100006,1745.349031100006,1747.8488146000018,1747.8488146000018,1747.8327416999964,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
12.0,"[0.64, -0.4]",None,0.0,31.0,31.0,31.0,,,,,,,,,1747.8488146000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,1747.833102699995,1747.8488146000018,1747.8488146000018,1748.3489046000032,1748.3489046000032,1750.848774900005,1750.848774900005,1750.8326480999967,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
9.0,"[0.2, -0.1]",None,0.0,32.0,32.0,32.0,,,,,,,,,1750.848774900005,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.8330004000018,1750.848774900005,1750.848774900005,1751.3488343000065,1751.3488343000065,1753.8488929000014,1753.8488929000014,1753.832466699998,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
11.0,"[-0.64, -0.4]",space,0.0,33.0,33.0,33.0,,,,,,,,,1753.8488929000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,1753.8328160999954,1753.8488929000014,1753.8488929000014,1754.3486780999956,1754.3486780999956,1756.848831299998,1756.848831299998,1756.832456499993,space,1.0,0.3495532999950228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
7.0,"[0.3, 0]",None,0.0,34.0,34.0,34.0,,,,,,,,,1756.848831299998,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756.8328582999966,1756.848831299998,1756.848831299998,1757.3486785999994,1757.3486785999994,1759.8486600000033,1759.8486600000033,1759.832548099992,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback80,1.0,2024-02-02_12h51.56.838,untitled,2023.2.3,60.127771512658455,2024-02-02 13h13.19.386916 -0500,
