square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 104
,,,,,,,,,,,,,,,,,0.0017077000229619,0.004235400003381,0.004235400003381,0.004235400003381,1425.6699345000088,space,1425.6551239999826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback39,1.0,2023-12-19_13h47.24.408,untitled,2023.2.3,59.94754590269487,2023-12-19 14h27.49.404809 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,1427.6854540000204,,,,,,,,,,1425.6699909000308,1425.6848095000023,1425.6848095000023,1425.6848095000023,1425.6848095000023,1425.6848095000023,1425.6848095000023,1425.6848095000023,1425.6848095000023,1425.6848095000023,1425.6848095000023,1425.6848095000023,1425.6848095000023,1426.6687506000162,1426.6687716000015,1426.684794300003,1427.6854540000204,1427.6683858000324,1427.6834903000272,1427.6854540000204,1427.6854540000204,1428.1681517999968,1428.1848861000035,1430.66795979999,1430.6847022000002,1430.668311299989,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback39,1.0,2023-12-19_13h47.24.408,untitled,2023.2.3,59.94754590269487,2023-12-19 14h27.49.404809 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,1430.6847022000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430.6687116000105,1430.6847022000002,1430.6847022000002,1431.1682157000178,1431.184737100033,1433.6681172000244,1433.6846763000358,1433.668919100019,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback39,1.0,2023-12-19_13h47.24.408,untitled,2023.2.3,59.94754590269487,2023-12-19 14h27.49.404809 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,1433.6846763000358,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.6696597000118,1433.6846763000358,1433.6846763000358,1434.168061400007,1434.1848125000251,1436.6680595999933,1436.6846174999955,1436.668928100029,space,1.0,0.3930510999634862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback39,1.0,2023-12-19_13h47.24.408,untitled,2023.2.3,59.94754590269487,2023-12-19 14h27.49.404809 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,1436.6846174999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436.6700793000057,1436.6846174999955,1436.6846174999955,1437.1680703000166,1437.1847643000074,1439.66804650001,1439.6846669000224,1439.66887340002,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback39,1.0,2023-12-19_13h47.24.408,untitled,2023.2.3,59.94754590269487,2023-12-19 14h27.49.404809 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,1439.6846669000224,,,,,,,,,,,,,,,,,,,,,,,,,,,,1439.6695814999985,1439.6846669000224,1439.6846669000224,1440.1679529999965,1440.1847151999827,1442.6680214999942,1442.6846784999943,1442.6687631999955,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback39,1.0,2023-12-19_13h47.24.408,untitled,2023.2.3,59.94754590269487,2023-12-19 14h27.49.404809 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,1442.6846784999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,1442.6695470000268,1442.6846784999943,1442.6846784999943,1443.168078000017,1443.184601999994,1445.6679057999863,1445.6844916000264,1445.6688855999964,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback39,1.0,2023-12-19_13h47.24.408,untitled,2023.2.3,59.94754590269487,2023-12-19 14h27.49.404809 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,1445.6844916000264,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445.6696092000348,1445.6844916000264,1445.6844916000264,1446.167932100012,1446.1846383000377,1448.6679332000203,1448.6845584000112,1448.6686756000272,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback39,1.0,2023-12-19_13h47.24.408,untitled,2023.2.3,59.94754590269487,2023-12-19 14h27.49.404809 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,1448.6845584000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448.6693807999836,1448.6845584000112,1448.6845584000112,1449.1678332000156,1449.1845573000028,1451.667673500022,1451.684467700019,1451.6683032999863,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback39,1.0,2023-12-19_13h47.24.408,untitled,2023.2.3,59.94754590269487,2023-12-19 14h27.49.404809 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,1451.684467700019,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451.6686394999851,1451.684467700019,1451.684467700019,1452.1678046000306,1452.184504600009,1454.6677752000396,1454.6844350000028,1454.6688142000348,space,1.0,0.3319616999942809,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback39,1.0,2023-12-19_13h47.24.408,untitled,2023.2.3,59.94754590269487,2023-12-19 14h27.49.404809 -0500,
