Timestamp, ActivePhase, EndActivePhase, CurrentTrial, StimulusQuestion
0,Start,,99,
588.0674,,EndofStart,99,
588.0674,Calibration,,99,
592.061,,EndofCalibration,99,
592.061,Tutorial,,99,
1106.708,,EndofTutorial,99,
1106.708,Rest,,99,
1406.714,,EndofRest,99,
1406.767,Feedback,,99,
1413.297,Experimental,,99,
1440.922,Experimental,,0,_A1_CI_NSI_R180x
1456.971,Experimental,,1,_B1_CI_NSI_R0
1470.23,Experimental,,2,_A2_AC_SI_R180z
1480.4,Experimental,,3,_B2_AC_SI_R180x
1492.816,Feedback,,99,
1497.314,Experimental,,99,
1497.314,Experimental,,4,_A3_CI_NSI_R120z
1508.387,Experimental,,5,_B3_AC_SI_R180y
1520.186,Experimental,,6,_A4_AC_SI_R180x
1530.71,Experimental,,7,_B4_C_SI_R180y
1547.118,Feedback,,99,
1551.039,Experimental,,99,
1551.039,Experimental,,8,_A5_AC_SI_R180y
1568.063,Experimental,,9,_B5_C_SI_R120z
1588.206,Experimental,,10,_A6_AC_SI_R180z
1597.436,Experimental,,11,_B6_CI_NSI_R180x
1616.932,Feedback,,99,
1620.991,Experimental,,99,
1620.991,Experimental,,12,_A7_C_NSI_R180z
1634.921,Experimental,,13,_B7_AC_SI_R90z
1653.956,Experimental,,14,_A8_C_SI_R180y
1674.959,Experimental,,15,_B8_AC_SI_R60z
1685.93,Feedback,,99,
1689.475,Experimental,,99,
1689.475,Experimental,,16,_A9_C_NSI_R180y
1705.855,Experimental,,17,_B9_C_NSI_R90z
1720.25,Experimental,,18,_A10_C_SI_R180x
1734.776,Experimental,,19,_B10_C_NSI_R180x
1746.766,Feedback,,99,
1749.255,Experimental,,99,
1749.255,Experimental,,20,_A11_AC_SI_R180y
1762.604,Experimental,,21,_B11_CI_NSI_R120z
1773.099,Experimental,,22,_A12_C_NSI_R180x
1781.162,Experimental,,23,_B12_C_SI_R180x
1797.3,Feedback,,99,
1801.657,Experimental,,99,
1801.657,Experimental,,24,_A13_CI_NSI_R180x
1818.616,Experimental,,25,_B13_AC_SI_R180x
1833.641,Experimental,,26,_A14_AC_SI_R180x
1849.764,Experimental,,27,_B14_AC_SI_R180y
1864.291,Feedback,,99,
1868.37,Experimental,,99,
1868.37,Experimental,,28,_A15_C_SI_R120z
1880.205,Experimental,,29,_B15_CI_NSI_R180y
1896.857,Experimental,,30,_A16_CI_NSI_R0
1913.946,Experimental,,31,_B16_C_NSI_R180y
1924.164,Feedback,,99,
1927.244,,EndofExperiment,99,
