FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,6,851.8486,7.576294,Tutorial,BaselineAquisition
2,4,880.3869,8.54718,Tutorial,FindX
3,7,911.153,3.989624,Tutorial,McDonalds
4,1,1223.274,6.926636,Rest,Control
5,7,1340.554,5.393066,Experimental,Control
6,7,1394.74,4.081909,Experimental,Control
7,8,1475.103,3.151855,Experimental,Control
8,7,1541.023,2.557983,Experimental,Control
9,8,1604.049,2.254883,Experimental,Control
10,8,1681.542,4.093262,Experimental,Control
11,7,1761.161,4.970581,Experimental,Control
12,8,1822.533,2.549561,Experimental,Control
