TimeShown,TimeAnswered,TimeDiff,IsCorrect,CurrentTrial,StimulusQuestion,TimeoutCounter
1178.458,1224.608,46.15002,True,0,_A1_CI_NSI_R180x,0
1226.651,1241.556,14.90491,True,1,_B1_CI_NSI_R0,0
1243.599,1258.534,14.93457,True,2,_A2_AC_SI_R180z,0
1260.58,1267.65,7.069336,False,3,_B2_AC_SI_R180x,0
1278.182,1293.072,14.88965,True,4,_A3_CI_NSI_R120z,0
1295.129,1308.983,13.85352,True,5,_B3_AC_SI_R180y,0
1311.041,1316.566,5.524902,True,6,_A4_AC_SI_R180x,0
1318.62,1330.702,12.08228,True,7,_B4_C_SI_R180y,0
1338.786,1362.223,23.43726,False,8,_A5_AC_SI_R180y,0
1364.287,1377.957,13.67029,True,9,_B5_C_SI_R120z,0
1380.012,1393.148,13.13599,True,10,_A6_AC_SI_R180z,0
1395.207,1403.534,8.326904,True,11,_B6_CI_NSI_R180x,0
1416.992,1433.119,16.12646,True,12,_A7_C_NSI_R180z,0
1435.167,1446.629,11.46216,True,13,_B7_AC_SI_R90z,0
1449.022,1464.986,15.96338,True,14,_A8_C_SI_R180y,0
1467.313,1477.494,10.18079,True,15,_B8_AC_SI_R60z,0
1484.709,1501.048,16.33948,True,16,_A9_C_NSI_R180y,0
1503.375,1524.216,20.84082,False,17,_B9_C_NSI_R90z,0
1526.287,1539.959,13.67236,True,18,_A10_C_SI_R180x,0
1542.007,1564.359,22.35229,False,19,_B10_C_NSI_R180x,0
1580.917,1593.795,12.87732,True,20,_A11_AC_SI_R180y,0
1595.877,1606.0,10.12268,True,21,_B11_CI_NSI_R120z,0
1608.099,1621.347,13.24841,True,22,_A12_C_NSI_R180x,0
1623.398,1639.563,16.16504,True,23,_B12_C_SI_R180x,0
1648.164,1660.481,12.31726,True,24,_A13_CI_NSI_R180x,0
1662.561,1690.284,27.72253,True,25,_B13_AC_SI_R180x,0
1692.377,1736.486,44.10901,True,26,_A14_AC_SI_R180x,0
1738.558,1761.661,23.10278,True,27,_B14_AC_SI_R180y,0
1778.971,1798.286,19.3147,True,28,_A15_C_SI_R120z,0
1800.366,1808.88,8.514404,True,29,_B15_CI_NSI_R180y,0
1810.927,1829.383,18.45605,True,30,_A16_CI_NSI_R0,0
1831.43,1867.443,36.0127,False,31,_B16_C_NSI_R180y,0
