FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,4,1106.739,7.39209,Tutorial,BaselineAquisition
2,3,1129.447,3.962158,Tutorial,FindX
3,8,1166.668,7.826782,Tutorial,McDonalds
4,2,1483.612,11.35181,Rest,Control
5,5,1582.481,3.955078,Experimental,Control
6,5,1642.673,1.921753,Experimental,Control
7,6,1736.338,4.42981,Experimental,Control
8,6,1798.189,2.683228,Experimental,Control
9,5,1880.651,2.999146,Experimental,Control
10,7,1946.979,3.268921,Experimental,Control
11,7,2027.932,4.601563,Experimental,Control
12,6,2082.217,2.284668,Experimental,Control
