square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 102
,,,,,,,,,,,,,,,,,0.0014958000974729,0.0038840000052005,0.0038840000052005,0.0038840000052005,1780.133421500097,space,1780.1246555999387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,1782.151132500032,,,,,,,,,,1780.1334786000662,1780.1481995000504,1780.1481995000504,1780.1481995000504,1780.1481995000504,1780.1481995000504,1780.1481995000504,1780.1481995000504,1780.1481995000504,1780.1481995000504,1780.1481995000504,1780.1481995000504,1780.1481995000504,1781.1320627001114,1781.1320777001092,1781.148175000097,1782.151132500032,1782.132271700073,1782.149121100083,1782.151132500032,1782.151132500032,1782.6314071000088,1782.664787900052,1785.1314737000505,1785.1483255000785,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,1785.164766700007,,,,,,,,,,,,,,,,,,,,,,,,,,,,1785.14944310009,1785.164766700007,1785.164766700007,1785.6313682000618,1785.664601800032,1788.1313063000562,1788.148101400002,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,1788.164635000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,1788.1487395000877,1788.164635000052,1788.164635000052,1788.6312819001032,1788.6647506000008,1791.1314414000371,1791.148074600031,space,1.0,0.3962413999252021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,1791.1645387000171,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791.149210600066,1791.1645387000171,1791.1645387000171,1791.6313015000196,1791.6647616000846,1794.1313165000174,1794.1480262000114,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,1794.1644487000303,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794.1486538000172,1794.1644487000303,1794.1644487000303,1794.6313869000878,1794.664562900085,1797.131141500082,1797.148055800004,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,1797.1644903999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,1797.1487627000315,1797.1644903999986,1797.1644903999986,1797.6310667000944,1797.664427800104,1800.131089600036,1800.1480029000668,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,1800.1643912000582,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.1488465000875,1800.1643912000582,1800.1643912000582,1800.631074200035,1800.6645038001006,1803.1311061000447,1803.147814300028,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,1803.1644574000968,,,,,,,,,,,,,,,,,,,,,,,,,,,,1803.148169400054,1803.1644574000968,1803.1644574000968,1803.6311252000744,1803.6643766000636,1806.1310962000864,1806.147938900045,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,1806.1642416000832,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806.1486238000216,1806.1642416000832,1806.1642416000832,1806.630891000037,1806.6643170000752,1809.131030500052,1809.1476955000544,space,1.0,0.3505126000382006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
9.0,"[0.2, -0.1]",None,0.0,9.0,9.0,9.0,,,,,,,,,1809.1644119000996,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809.1487316000275,1809.1644119000996,1809.1644119000996,1809.647518200101,1809.6642769000027,1812.14775740006,1812.147926600068,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
8.0,"[-0.2, -0.1]",None,0.0,10.0,10.0,10.0,,,,,,,,,1812.1643399000168,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812.148565600044,1812.1643399000168,1812.1643399000168,1812.647527500056,1812.6641087000023,1815.1476163000332,1815.1478290000232,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
9.0,"[0.2, -0.1]",None,0.0,11.0,11.0,11.0,,,,,,,,,1815.164178100065,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815.148646500078,1815.164178100065,1815.164178100065,1815.6474918000167,1815.664319700096,1818.147440400091,1818.147609900101,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
6.0,"[-0.3, 0]",None,0.0,12.0,12.0,12.0,,,,,,,,,1818.1641585000325,,,,,,,,,,,,,,,,,,,,,,,,,,,,1818.1482812000904,1818.1641585000325,1818.1641585000325,1818.647410100093,1818.6641984001035,1821.1476433000064,1821.1478414000007,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback66,1.0,2024-01-22_14h24.06.691,untitled,2023.2.3,60.01529187307531,2024-01-22 14h43.23.581149 -0500,
