FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,4,772.0933,6.667847,Tutorial,BaselineAquisition
2,3,793.8809,3.373779,Tutorial,FindX
3,6,826.6469,4.843567,Tutorial,McDonalds
4,1,1141.311,6.789795,Rest,Control
5,3,1275.471,6.763428,Experimental,Control
6,4,1325.209,2.032715,Experimental,Control
7,4,1388.842,9.213745,Experimental,Control
8,5,1463.72,5.305664,Experimental,Control
9,5,1542.327,1.75415,Experimental,Control
10,5,1618.195,1.667725,Experimental,Control
11,5,1701.188,1.521606,Experimental,Control
12,5,1760.393,1.451782,Experimental,Control
