square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 103
,,,,,,,,,,,,,,,,,0.0014545999874826,0.0039116000116337,0.0039116000116337,0.0039116000116337,2001.4913098000104,space,2001.4744957000075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback50,1.0,2024-01-12_12h34.26.209,untitled,2023.2.3,60.02249643176688,2024-01-12 12h51.04.478426 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,2003.5087266000048,,,,,,,,,,2001.4913555000091,2001.5067268999992,2001.5067268999992,2001.5067268999992,2001.5067268999992,2001.5067268999992,2001.5067268999992,2001.5067268999992,2001.5067268999992,2001.5067268999992,2001.5067268999992,2001.5067268999992,2001.5067268999992,2002.4905168999976,2002.4905314999924,2002.5067961000025,2003.5087266000048,2003.4910073000065,2003.5066672000105,2003.5087266000048,2003.5087266000048,2003.9901250000112,2004.023440399993,2006.4900809999965,2006.507001299993,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback50,1.0,2024-01-12_12h34.26.209,untitled,2023.2.3,60.02249643176688,2024-01-12 12h51.04.478426 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,2006.5235574000108,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006.507958300004,2006.5235574000108,2006.5235574000108,2006.9900152999908,2007.023345499998,2009.490038799995,2009.506834700005,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback50,1.0,2024-01-12_12h34.26.209,untitled,2023.2.3,60.02249643176688,2024-01-12 12h51.04.478426 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,2009.523335000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.5075237000128,2009.523335000005,2009.523335000005,2009.9901018000087,2010.0233038000008,2012.490037599986,2012.506904799986,space,1.0,0.4270789999864064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback50,1.0,2024-01-12_12h34.26.209,untitled,2023.2.3,60.02249643176688,2024-01-12 12h51.04.478426 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,2012.523261299997,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.5081235000107,2012.523261299997,2012.523261299997,2012.9899697999936,2013.023343000008,2015.489972100011,2015.5067997000008,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback50,1.0,2024-01-12_12h34.26.209,untitled,2023.2.3,60.02249643176688,2024-01-12 12h51.04.478426 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,2015.52337000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.5076394999924,2015.52337000001,2015.52337000001,2015.99001020001,2016.0233775000088,2018.4897365999927,2018.506781000004,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback50,1.0,2024-01-12_12h34.26.209,untitled,2023.2.3,60.02249643176688,2024-01-12 12h51.04.478426 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,2018.5232159000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.507559799997,2018.5232159000009,2018.5232159000009,2018.9897872,2019.023144900013,2021.4899191999864,2021.5068014000133,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback50,1.0,2024-01-12_12h34.26.209,untitled,2023.2.3,60.02249643176688,2024-01-12 12h51.04.478426 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,2021.523236899986,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.5076398999956,2021.523236899986,2021.523236899986,2021.9898724000088,2022.0231587000017,2024.489792200009,2024.5066286000076,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback50,1.0,2024-01-12_12h34.26.209,untitled,2023.2.3,60.02249643176688,2024-01-12 12h51.04.478426 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,2024.5231255000108,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.5073866999885,2024.5231255000108,2024.5231255000108,2024.9898751,2025.023094000004,2027.4895498999977,2027.5063937999948,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback50,1.0,2024-01-12_12h34.26.209,untitled,2023.2.3,60.02249643176688,2024-01-12 12h51.04.478426 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,2027.5229437999951,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027.5067910999933,2027.5229437999951,2027.5229437999951,2027.989679499995,2028.0230142000075,2030.489609799988,2030.506582300004,space,1.0,0.5336149999930058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback50,1.0,2024-01-12_12h34.26.209,untitled,2023.2.3,60.02249643176688,2024-01-12 12h51.04.478426 -0500,
