square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,target_square_0.stopped,fixation_0.started,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 104
9.0,"[0.2, -0.1]",None,0.0,9.0,9.0,9.0,,,,,,,,,64.72953690000577,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.71454230000381,64.72953690000577,64.72953690000577,65.22946140000568,65.22946140000568,67.72934930000338,67.72934930000338,67.71356920000107,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
8.0,"[-0.2, -0.1]",None,0.0,10.0,10.0,10.0,,,,,,,,,67.72934930000338,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7141877000031,67.72934930000338,67.72934930000338,68.22940290000406,68.22940290000406,70.72944890000508,70.72944890000508,70.71355620000395,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
9.0,"[0.2, -0.1]",None,0.0,11.0,11.0,11.0,,,,,,,,,70.72944890000508,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.71420670000225,70.72944890000508,70.72944890000508,71.22953000000416,71.22953000000416,73.7295163000017,73.7295163000017,73.71346890000132,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
6.0,"[-0.3, 0]",None,0.0,12.0,12.0,12.0,,,,,,,,,73.7295163000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.71405230000528,73.7295163000017,73.7295163000017,74.22944480000297,74.22944480000297,76.7291796999998,76.7291796999998,76.71352330000082,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
9.0,"[0.2, -0.1]",None,0.0,13.0,13.0,13.0,,,,,,,,,76.7291796999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.71411380000063,76.7291796999998,76.7291796999998,77.22928940000565,77.22928940000565,79.7292860000016,79.7292860000016,79.7134933999987,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
7.0,"[0.3, 0]",None,0.0,14.0,14.0,14.0,,,,,,,,,79.7292860000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.714178000002,79.7292860000016,79.7292860000016,80.22940550000203,80.22940550000203,82.72927000000345,82.72927000000345,82.71355659999972,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
2.0,"[0.64, 0.4]",None,0.0,15.0,15.0,15.0,,,,,,,,,82.72927000000345,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.71420580000267,82.72927000000345,82.72927000000345,83.22931610000524,83.22931610000524,85.7292574000021,85.7292574000021,85.71343290000368,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
2.0,"[0.64, 0.4]",None,0.0,16.0,16.0,16.0,,,,,,,,,85.7292574000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.71419140000216,85.7292574000021,85.7292574000021,86.22911290000047,86.22911290000047,88.72914519999904,88.72914519999904,88.71330300000409,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
11.0,"[-0.64, -0.4]",space,0.0,17.0,17.0,17.0,,,,,,,,,88.72914519999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.71397470000375,88.72914519999904,88.72914519999904,89.22922680000192,89.22922680000192,91.72907500000292,91.72907500000292,91.71343740000157,space,1.0,0.5176284000044689,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
11.0,"[-0.64, -0.4]",space,0.0,18.0,18.0,18.0,,,,,,,,,91.72907500000292,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.7142482000054,91.72907500000292,91.72907500000292,92.22926740000548,92.22926740000548,94.72903159999989,94.72903159999989,94.7134939000025,space,1.0,0.4994888000001083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
