Timestamp, ActivePhase, EndActivePhase, CurrentTrial, StimulusQuestion
0,Start,,99,
387.7502,,EndofStart,99,
387.7502,Calibration,,99,
393.443,,EndofCalibration,99,
393.443,Tutorial,,99,
720.4315,,EndofTutorial,99,
720.4315,Rest,,99,
1020.438,,EndofRest,99,
1020.48,Feedback,,99,
1026.5,Experimental,,99,
1047.517,Experimental,,0,_A1_CI_NSI_R180x
1063.584,Experimental,,1,_B1_CI_NSI_R0
1078.322,Experimental,,2,_A2_AC_SI_R180z
1089.506,Experimental,,3,_B2_AC_SI_R180x
1098.23,Feedback,,99,
1101.119,Experimental,,99,
1101.119,Experimental,,4,_A3_CI_NSI_R120z
1116.611,Experimental,,5,_B3_AC_SI_R180y
1126.278,Experimental,,6,_A4_AC_SI_R180x
1136.635,Experimental,,7,_B4_C_SI_R180y
1149.773,Feedback,,99,
1151.964,Experimental,,99,
1151.964,Experimental,,8,_A5_AC_SI_R180y
1164.944,Experimental,,9,_B5_C_SI_R120z
1177.949,Experimental,,10,_A6_AC_SI_R180z
1186.128,Experimental,,11,_B6_CI_NSI_R180x
1194.335,Feedback,,99,
1198.544,Experimental,,99,
1198.544,Experimental,,12,_A7_C_NSI_R180z
1210.561,Experimental,,13,_B7_AC_SI_R90z
1220.38,Experimental,,14,_A8_C_SI_R180y
1235.872,Experimental,,15,_B8_AC_SI_R60z
1247.5,Feedback,,99,
1250.583,Experimental,,99,
1250.583,Experimental,,16,_A9_C_NSI_R180y
1264.359,Experimental,,17,_B9_C_NSI_R90z
1283.327,Experimental,,18,_A10_C_SI_R180x
1293.446,Experimental,,19,_B10_C_NSI_R180x
1320.665,Feedback,,99,
1322.773,Experimental,,99,
1322.773,Experimental,,20,_A11_AC_SI_R180y
1334.747,Experimental,,21,_B11_CI_NSI_R120z
1346.407,Experimental,,22,_A12_C_NSI_R180x
1366.075,Experimental,,23,_B12_C_SI_R180x
1389.652,Feedback,,99,
1393.026,Experimental,,99,
1393.026,Experimental,,24,_A13_CI_NSI_R180x
1411.525,Experimental,,25,_B13_AC_SI_R180x
1433.188,Experimental,,26,_A14_AC_SI_R180x
1446.943,Experimental,,27,_B14_AC_SI_R180y
1456.767,Feedback,,99,
1458.504,Experimental,,99,
1458.504,Experimental,,28,_A15_C_SI_R120z
1474.274,Experimental,,29,_B15_CI_NSI_R180y
1484.125,Experimental,,30,_A16_CI_NSI_R0
1514.119,Experimental,,31,_B16_C_NSI_R180y
1531.623,Feedback,,99,
1534.109,,EndofExperiment,99,
