Timestamp, ActivePhase, EndActivePhase, CurrentTrial, StimulusQuestion
0,Start,,99,
520.4069,,EndofStart,99,
520.4069,Calibration,,99,
528.1008,,EndofCalibration,99,
528.1008,Tutorial,,99,
1112.427,,EndofTutorial,99,
1112.427,Rest,,99,
1412.432,,EndofRest,99,
1412.484,Feedback,,99,
1426.778,Experimental,,99,
1451.168,Experimental,,0,_A1_CI_NSI_R180x
1479.989,Experimental,,1,_B1_CI_NSI_R0
1496.934,Experimental,,2,_A2_AC_SI_R180z
1534.522,Experimental,,3,_B2_AC_SI_R180x
1564.448,Feedback,,99,
1570.595,Experimental,,99,
1570.595,Experimental,,4,_A3_CI_NSI_R120z
1589.864,Experimental,,5,_B3_AC_SI_R180y
1606.431,Experimental,,6,_A4_AC_SI_R180x
1620.635,Experimental,,7,_B4_C_SI_R180y
1643.103,Feedback,,99,
1648.114,Experimental,,99,
1648.114,Experimental,,8,_A5_AC_SI_R180y
1689.037,Experimental,,9,_B5_C_SI_R120z
1715.39,Experimental,,10,_A6_AC_SI_R180z
1755.166,Experimental,,11,_B6_CI_NSI_R180x
1778.588,Feedback,,99,
1782.064,Experimental,,99,
1782.064,Experimental,,12,_A7_C_NSI_R180z
1803.999,Experimental,,13,_B7_AC_SI_R90z
1831.382,Experimental,,14,_A8_C_SI_R180y
1851.961,Experimental,,15,_B8_AC_SI_R60z
1869.708,Feedback,,99,
1874.656,Experimental,,99,
1874.656,Experimental,,16,_A9_C_NSI_R180y
1911.149,Experimental,,17,_B9_C_NSI_R90z
1934.257,Experimental,,18,_A10_C_SI_R180x
1956.529,Experimental,,19,_B10_C_NSI_R180x
1999.063,Feedback,,99,
2003.069,Experimental,,99,
2003.069,Experimental,,20,_A11_AC_SI_R180y
2018.689,Experimental,,21,_B11_CI_NSI_R120z
2037.881,Experimental,,22,_A12_C_NSI_R180x
2054.904,Experimental,,23,_B12_C_SI_R180x
2096.676,Feedback,,99,
2099.586,Experimental,,99,
2099.586,Experimental,,24,_A13_CI_NSI_R180x
2124.141,Experimental,,25,_B13_AC_SI_R180x
2155.691,Experimental,,26,_A14_AC_SI_R180x
2186.746,Experimental,,27,_B14_AC_SI_R180y
2224.062,Feedback,,99,
2226.905,Experimental,,99,
2226.905,Experimental,,28,_A15_C_SI_R120z
2241.971,Experimental,,29,_B15_CI_NSI_R180y
2263.173,Experimental,,30,_A16_CI_NSI_R0
2291.632,Experimental,,31,_B16_C_NSI_R180y
2312.517,Feedback,,99,
2315.193,,EndofExperiment,99,
