FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,1,732.0914,22.56763,Tutorial,BaselineAquisition
2,1,767.4642,5.664001,Tutorial,FindX
3,7,823.2523,16.69537,Tutorial,McDonalds
4,1,1161.145,8.159058,Rest,Control
5,3,1335.314,5.143555,Experimental,Control
6,4,1447.851,19.61633,Experimental,Control
7,6,1635.699,3.279907,Experimental,Control
8,5,1763.34,5.608765,Experimental,Control
9,4,1924.432,3.153076,Experimental,Control
10,6,2044.791,4.06665,Experimental,Control
11,3,2152.904,3.207275,Experimental,Control
12,4,2293.963,2.743652,Experimental,Control
