square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 100
9.0,"[0.2, -0.1]",None,0.0,9.0,9.0,9.0,,,,,,,,,46.20292920002248,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.18684660003055,46.20292920002248,46.20292920002248,46.6697136000148,46.703069299983326,49.16969369997969,49.18650220002746,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
8.0,"[-0.2, -0.1]",None,0.0,10.0,10.0,10.0,,,,,,,,,49.20303929998772,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.186917199986055,49.20303929998772,49.20303929998772,49.68617770000128,49.7028478999855,52.18620599998394,52.18634299997939,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
9.0,"[0.2, -0.1]",None,0.0,11.0,11.0,11.0,,,,,,,,,52.20286530000158,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.18670199997723,52.20286530000158,52.20286530000158,52.669587399985176,52.7029602000257,55.16934329998912,55.18597910000244,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
6.0,"[-0.3, 0]",None,0.0,12.0,12.0,12.0,,,,,,,,,55.202919200004544,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.18646830000216,55.202919200004544,55.202919200004544,55.66952840000158,55.70298210001784,58.16942370001925,58.18639400001848,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
9.0,"[0.2, -0.1]",None,0.0,13.0,13.0,13.0,,,,,,,,,58.20275539997965,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.18688579997979,58.20275539997965,58.20275539997965,58.68616540002404,58.70291210000869,61.18616520002252,61.18631189997541,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
7.0,"[0.3, 0]",None,0.0,14.0,14.0,14.0,,,,,,,,,61.202834800002165,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.18704119999893,61.202834800002165,61.202834800002165,61.68607910000719,61.70274400000926,64.18609779997496,64.18624469998758,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
2.0,"[0.64, 0.4]",None,0.0,15.0,15.0,15.0,,,,,,,,,64.20275240001502,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.18697550002253,64.20275240001502,64.20275240001502,64.68607549997978,64.70278549997602,67.18600589997368,67.18615959997987,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
2.0,"[0.64, 0.4]",None,0.0,16.0,16.0,16.0,,,,,,,,,67.20279090001713,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.18661660002545,67.20279090001713,67.20279090001713,67.68600139999762,67.70269589999225,70.18596360000083,70.18611150002107,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
11.0,"[-0.64, -0.4]",space,0.0,17.0,17.0,17.0,,,,,,,,,70.20258520002244,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.18641939997906,70.20258520002244,70.20258520002244,70.68603340000845,70.70253359997878,73.18570799997542,73.18577819998609,space,1.0,0.4445656000170856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
11.0,"[-0.64, -0.4]",space,0.0,18.0,18.0,18.0,,,,,,,,,73.20242769998731,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.18617409997387,73.20242769998731,73.20242769998731,73.66925530001754,73.70249350002268,76.16904599999543,76.18586829997366,space,1.0,0.5629851999692619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
7.0,"[0.3, 0]",None,0.0,19.0,19.0,19.0,,,,,,,,,76.20228829997359,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1862721000216,76.20228829997359,76.20228829997359,76.68577630002983,76.70260560000315,79.18576919997577,79.18589030002477,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
3.0,"[0, 0.2]",None,0.0,20.0,20.0,20.0,,,,,,,,,79.20248159999028,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1862968999776,79.20248159999028,79.20248159999028,79.68555549997836,79.70227489998797,82.1856139000156,82.1857681000256,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
10.0,"[0, -0.2]",None,0.0,21.0,21.0,21.0,,,,,,,,,82.20219679997535,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.18610789999366,82.20219679997535,82.20219679997535,82.68566959997406,82.70218369999202,85.18572549999226,85.18587440002011,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
