FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,6,986.5261,9.474915,Tutorial,BaselineAquisition
2,5,1008.35,4.469177,Tutorial,FindX
3,7,1039.865,3.897827,Tutorial,McDonalds
4,3,1357.612,9.363159,Rest,Control
5,4,1478.409,4.642944,Experimental,Control
6,4,1551.425,2.826782,Experimental,Control
7,4,1619.035,2.612671,Experimental,Control
8,4,1678.796,2.506714,Experimental,Control
9,6,1754.571,3.27124,Experimental,Control
10,6,1822.799,2.744751,Experimental,Control
11,6,1909.055,3.075806,Experimental,Control
12,6,1999.436,3.429443,Experimental,Control
