square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,response_0.stopped,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,"[0.2, -0.1]",None,0,9,9,9,,,,,,,,,2031.0467691000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031.0313783000456,2031.0467691000085,2031.0467691000085,2031.5134985999903,2031.5467684000032,2034.0144392999937,2034.0146103000152,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
8,"[-0.2, -0.1]",None,0,10,10,10,,,,,,,,,2034.0300463000312,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034.0153325000429,2034.0300463000312,2034.0300463000312,2034.5133616999956,2034.530227100011,2037.013414999994,2037.0143315999885,None,1,,,2037.030019800004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
9,"[0.2, -0.1]",None,0,11,11,11,,,,,,,,,2037.030019800004,,,,,,,,,,,,,,,,,,,,,,,,,,,,2037.0152017000364,2037.030019800004,2037.030019800004,2037.5300272000022,2037.5300272000022,2040.0300488999928,2040.0140373000177,None,1,,,2040.0300488999928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
6,"[-0.3, 0]",None,0,12,12,12,,,,,,,,,2040.0300488999928,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040.0147067999933,2040.0300488999928,2040.0300488999928,2040.5300933000399,2040.5300933000399,2043.0298788000364,2043.014120500011,None,1,,,2043.0298788000364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
9,"[0.2, -0.1]",None,0,13,13,13,,,,,,,,,2043.0298788000364,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043.0148056999897,2043.0298788000364,2043.0298788000364,2043.5131425000145,2043.5298298000125,2046.0132473999984,2046.0140763000236,None,1,,,2046.0298340000445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
7,"[0.3, 0]",None,0,14,14,14,,,,,,,,,2046.0298340000445,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046.0148912000004,2046.0298340000445,2046.0298340000445,2046.5299203000031,2046.5299203000031,2049.0298107000417,2049.0140576999984,None,1,,,2049.0298107000417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
2,"[0.64, 0.4]",None,0,15,15,15,,,,,,,,,2049.0298107000417,,,,,,,,,,,,,,,,,,,,,,,,,,,,2049.014736500045,2049.0298107000417,2049.0298107000417,2049.529888499994,2049.529888499994,2052.029828300001,2052.014018899994,None,1,,,2052.029828300001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
2,"[0.64, 0.4]",None,0,16,16,16,,,,,,,,,2052.029828300001,,,,,,,,,,,,,,,,,,,,,,,,,,,,2052.0146782000083,2052.029828300001,2052.029828300001,2052.5299257000443,2052.5299257000443,2055.029687500035,2055.013929400011,None,1,,,2055.029687500035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
11,"[-0.64, -0.4]",space,0,17,17,17,,,,,,,,,2055.029687500035,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055.014569399995,2055.029687500035,2055.029687500035,2055.5297913000104,2055.5297913000104,2058.029732600029,2058.013835299993,space,1,0.4359198000165634,None,2058.029732600029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
11,"[-0.64, -0.4]",space,0,18,18,18,,,,,,,,,2058.029732600029,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058.014614999993,2058.029732600029,2058.029732600029,2058.5296914000064,2058.5296914000064,2061.0293237000005,2061.013760300004,space,1,0.46119440003531054,None,2061.0293237000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
