Timestamp,ActivePhase,EndActivePhase,CurrentTrial,StimulusQuestion
0.0,Start,,99,
438.3572,,EndofStart,99,
438.3572,Calibration,,99,
445.0087,,EndofCalibration,99,
445.0087,Tutorial,,99,
871.8823,,EndofTutorial,99,
871.8823,Rest,,99,
1171.888,,EndofRest,99,
1171.94,Feedback,,99,
1183.556,Experimental,,99,
1215.266,Experimental,,0,_A1_CI_NSI_R180x
1265.323,Experimental,,1,_B1_CI_NSI_R0
1298.492,Experimental,,2,_A2_AC_SI_R180z
1338.024,Experimental,,3,_B2_AC_SI_R180x
1349.262,Feedback,,99,
1356.704,Experimental,,99,
1356.704,Experimental,,4,_A3_CI_NSI_R120z
1386.965,Experimental,,5,_B3_AC_SI_R180y
1410.688,Experimental,,6,_A4_AC_SI_R180x
1429.654,Experimental,,7,_B4_C_SI_R180y
1449.905,Feedback,,99,
1475.478,Experimental,,99,
1475.478,Experimental,,8,_A5_AC_SI_R180y
1502.581,Experimental,,9,_B5_C_SI_R120z
1541.47,Experimental,,10,_A6_AC_SI_R180z
1554.38,Experimental,,11,_B6_CI_NSI_R180x
1569.439,Feedback,,99,
1574.179,Experimental,,99,
1574.179,Experimental,,12,_A7_C_NSI_R180z
1619.09,Experimental,,13,_B7_AC_SI_R90z
1641.949,Experimental,,14,_A8_C_SI_R180y
1674.225,Experimental,,15,_B8_AC_SI_R60z
1684.475,Feedback,,99,
1689.08,Experimental,,99,
1689.08,Experimental,,16,_A9_C_NSI_R180y
1715.479,Experimental,,17,_B9_C_NSI_R90z
1749.364,Experimental,,18,_A10_C_SI_R180x
1766.156,Experimental,,19,_B10_C_NSI_R180x
1789.334,Feedback,,99,
1792.758,Experimental,,99,
1792.758,Experimental,,20,_A11_AC_SI_R180y
1812.935,Experimental,,21,_B11_CI_NSI_R120z
1842.022,Experimental,,22,_A12_C_NSI_R180x
1861.369,Experimental,,23,_B12_C_SI_R180x
1877.15,Feedback,,99,
1880.32,Experimental,,99,
1880.32,Experimental,,24,_A13_CI_NSI_R180x
1905.05,Experimental,,25,_B13_AC_SI_R180x
1930.872,Experimental,,26,_A14_AC_SI_R180x
1957.315,Experimental,,27,_B14_AC_SI_R180y
1976.549,Feedback,,99,
1980.646,Experimental,,99,
1980.646,Experimental,,28,_A15_C_SI_R120z
2008.723,Experimental,,29,_B15_CI_NSI_R180y
2024.548,Experimental,,30,_A16_CI_NSI_R0
2055.401,Experimental,,31,_B16_C_NSI_R180y
2087.597,Feedback,,99,
2091.251,,EndofExperiment,99,
