square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 100
,,,,,,,,,,,,,,,,,0.0015701000083936,0.0043137000029673,0.0043137000029673,0.0043137000029673,11.800495600007707,space,11.78994750000129,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback46,1.0,2024-01-09_13h49.09.067,untitled,2023.2.3,59.92969048721344,2024-01-09 14h37.52.900746 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,13.819359600005557,,,,,,,,,,11.800524500009487,11.815919000000576,11.815919000000576,11.815919000000576,11.815919000000576,11.815919000000576,11.815919000000576,11.815919000000576,11.815919000000576,11.815919000000576,11.815919000000576,11.815919000000576,11.815919000000576,12.80006599999615,12.800092700010282,12.816151599996374,13.819359600005557,13.800365000002785,13.817477999997209,13.819359600005557,13.819359600005557,14.299327500004438,14.332487200008472,16.79920760000823,16.81607700001041,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback46,1.0,2024-01-09_13h49.09.067,untitled,2023.2.3,59.92969048721344,2024-01-09 14h37.52.900746 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,16.832755900002667,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.81701780000003,16.832755900002667,16.832755900002667,17.299221399996895,17.33257389999926,19.799316800010278,19.81602670000575,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback46,1.0,2024-01-09_13h49.09.067,untitled,2023.2.3,59.92969048721344,2024-01-09 14h37.52.900746 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,19.832551900006365,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.81683239999984,19.832551900006365,19.832551900006365,20.29923289999715,20.33264280000003,22.79919430000882,22.81591000000481,space,1.0,0.3177588999969885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback46,1.0,2024-01-09_13h49.09.067,untitled,2023.2.3,59.92969048721344,2024-01-09 14h37.52.900746 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,22.832394600001862,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.817012300001807,22.832394600001862,22.832394600001862,23.31589260000328,23.33239830000093,25.81597979999788,25.81619710000814,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback46,1.0,2024-01-09_13h49.09.067,untitled,2023.2.3,59.92969048721344,2024-01-09 14h37.52.900746 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,25.83255690000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.81702800000494,25.83255690000078,25.83255690000078,26.29893699999957,26.3323742000066,28.799169699996128,28.815953600002103,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback46,1.0,2024-01-09_13h49.09.067,untitled,2023.2.3,59.92969048721344,2024-01-09 14h37.52.900746 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,28.832322300004307,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.81679740000982,28.832322300004307,28.832322300004307,29.315931400007685,29.332336200008285,31.815677400009008,31.81585189999896,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback46,1.0,2024-01-09_13h49.09.067,untitled,2023.2.3,59.92969048721344,2024-01-09 14h37.52.900746 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,31.832283499999903,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.81653820000065,31.832283499999903,31.832283499999903,32.315622399997665,32.332117600002675,34.815669700008584,34.81588799999736,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback46,1.0,2024-01-09_13h49.09.067,untitled,2023.2.3,59.92969048721344,2024-01-09 14h37.52.900746 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,34.83247390000906,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.81666710000718,34.83247390000906,34.83247390000906,35.315702300009434,35.332195499999216,37.8156267000013,37.81581529999676,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback46,1.0,2024-01-09_13h49.09.067,untitled,2023.2.3,59.92969048721344,2024-01-09 14h37.52.900746 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,37.832159800003865,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.81656350000412,37.832159800003865,37.832159800003865,38.31547310001042,38.33224709999922,40.8155456000095,40.81572230000165,space,1.0,0.3136909000022569,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback46,1.0,2024-01-09_13h49.09.067,untitled,2023.2.3,59.92969048721344,2024-01-09 14h37.52.900746 -0500,
