square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0014044999988982454,0.004042799992021173,0.004042799992021173,0.004042799992021173,1731.9007499,space,1731.8946042999887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback45,001,2024-01-09_09h56.25.408,untitled,2023.2.3,60.01676868883973,2024-01-09 10h10.53.792646 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,1733.9191816999955,,,,,,,,,,1731.9008071999997,1731.914645500001,1731.914645500001,1731.914645500001,1731.914645500001,1731.914645500001,1731.914645500001,1731.914645500001,1731.914645500001,1731.914645500001,1731.914645500001,1731.914645500001,1731.914645500001,1732.8989170999994,1732.8989412999945,1732.9148981999897,1733.9191816999955,1733.8989491999964,1733.9171649999917,1733.9191816999955,1733.9191816999955,1734.3980766999885,1734.4314115999878,1736.8979538999993,1736.9149139999936,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback45,001,2024-01-09_09h56.25.408,untitled,2023.2.3,60.01676868883973,2024-01-09 10h10.53.792646 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,1736.931439299995,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736.9159521999973,1736.931439299995,1736.931439299995,1737.3979675999872,1737.4313101000007,1739.8980310999905,1739.9149782999884,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback45,001,2024-01-09_09h56.25.408,untitled,2023.2.3,60.01676868883973,2024-01-09 10h10.53.792646 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,1739.9314009999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739.9157836999948,1739.9314009999944,1739.9314009999944,1740.41461349999,1740.4313154999982,1742.9146363999898,1742.9148037999985,space,1,0.42575390001002233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback45,001,2024-01-09_09h56.25.408,untitled,2023.2.3,60.01676868883973,2024-01-09 10h10.53.792646 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,1742.9313344999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.915763500001,1742.9313344999973,1742.9313344999973,1743.3977245999995,1743.4312827999966,1745.898055499987,1745.9148052999954,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback45,001,2024-01-09_09h56.25.408,untitled,2023.2.3,60.01676868883973,2024-01-09 10h10.53.792646 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,1745.931304599988,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745.9155997999915,1745.931304599988,1745.931304599988,1746.4145487999922,1746.4311517999886,1748.914299199998,1748.9143894000008,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback45,001,2024-01-09_09h56.25.408,untitled,2023.2.3,60.01676868883973,2024-01-09 10h10.53.792646 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,1748.931021299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.9147540999984,1748.931021299999,1748.931021299999,1749.4145034999965,1749.4310112999956,1751.914454400001,1751.9146509999991,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback45,001,2024-01-09_09h56.25.408,untitled,2023.2.3,60.01676868883973,2024-01-09 10h10.53.792646 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,1751.931141299996,,,,,,,,,,,,,,,,,,,,,,,,,,,,1751.9154472999944,1751.931141299996,1751.931141299996,1752.414374999993,1752.4309904999973,1754.91447969999,1754.9146665000007,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback45,001,2024-01-09_09h56.25.408,untitled,2023.2.3,60.01676868883973,2024-01-09 10h10.53.792646 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,1754.9310414999927,,,,,,,,,,,,,,,,,,,,,,,,,,,,1754.915350299998,1754.9310414999927,1754.9310414999927,1755.4144192999956,1755.4311745999876,1757.9146036999882,1757.9148156999872,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback45,001,2024-01-09_09h56.25.408,untitled,2023.2.3,60.01676868883973,2024-01-09 10h10.53.792646 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,1757.9311075999867,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757.9156641000009,1757.9311075999867,1757.9311075999867,1758.4142811999918,1758.4308610000007,1760.9143008999963,1760.9144574999955,space,1,0.398292500001844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback45,001,2024-01-09_09h56.25.408,untitled,2023.2.3,60.01676868883973,2024-01-09 10h10.53.792646 -0500,
