TimeShown, TimeAnswered, TimeDiff, IsCorrect, CurrentTrial, StimulusQuestion, TimeoutCounter
1210.497,1223.613,13.11682,False,0,_A1_CI_NSI_R180x,0
1225.942,1233.226,7.28479,False,1,_B1_CI_NSI_R0,0
1235.281,1259.431,24.15039,True,2,_A2_AC_SI_R180z,0
1261.469,1268.135,6.666138,True,3,_B2_AC_SI_R180x,0
1276.541,1287.007,10.46606,True,4,_A3_CI_NSI_R120z,0
1289.058,1294.143,5.084595,False,5,_B3_AC_SI_R180y,0
1296.208,1304.064,7.855591,True,6,_A4_AC_SI_R180x,0
1306.125,1310.78,4.654663,True,7,_B4_C_SI_R180y,0
1317.37,1322.676,5.306763,True,8,_A5_AC_SI_R180y,0
1324.741,1327.055,2.314209,True,9,_B5_C_SI_R120z,0
1329.141,1331.507,2.366333,True,10,_A6_AC_SI_R180z,0
1333.585,1335.758,2.173218,True,11,_B6_CI_NSI_R180x,0
1344.625,1353.661,9.036621,True,12,_A7_C_NSI_R180z,0
1355.714,1356.971,1.256714,False,13,_B7_AC_SI_R90z,0
1359.036,1363.756,4.719727,True,14,_A8_C_SI_R180y,0
1365.826,1372.274,6.448608,False,15,_B8_AC_SI_R60z,0
1378.864,1383.513,4.649414,True,16,_A9_C_NSI_R180y,0
1385.579,1387.515,1.936157,True,17,_B9_C_NSI_R90z,0
1389.588,1390.432,0.8446045,False,18,_A10_C_SI_R180x,0
1392.498,1396.374,3.876221,False,19,_B10_C_NSI_R180x,0
1407.19,1426.22,19.02979,False,20,_A11_AC_SI_R180y,0
1428.297,1431.314,3.016724,True,21,_B11_CI_NSI_R120z,0
1433.395,1435.579,2.183594,False,22,_A12_C_NSI_R180x,0
1437.643,1440.302,2.658936,False,23,_B12_C_SI_R180x,0
1446.63,1454.26,7.630127,True,24,_A13_CI_NSI_R180x,0
1456.316,1457.19,0.8745117,False,25,_B13_AC_SI_R180x,0
1459.261,1465.053,5.792114,True,26,_A14_AC_SI_R180x,0
1467.12,1469.253,2.133179,True,27,_B14_AC_SI_R180y,0
1474.439,1479.436,4.996948,True,28,_A15_C_SI_R120z,0
1481.595,1482.401,0.8065186,False,29,_B15_CI_NSI_R180y,0
1484.638,1485.99,1.351929,False,30,_A16_CI_NSI_R0,0
1488.059,1489.322,1.263062,True,31,_B16_C_NSI_R180y,0
