FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,3,918.3868,8.848145,Tutorial,BaselineAquisition
2,1,939.4686,2.392883,Tutorial,FindX
3,5,968.4152,2.640137,Tutorial,McDonalds
4,3,1279.944,6.390015,Rest,Control
5,4,1389.072,6.069092,Experimental,Control
6,4,1461.323,4.15271,Experimental,Control
7,5,1544.34,2.154175,Experimental,Control
8,4,1626.694,4.489258,Experimental,Control
9,5,1707.844,2.855591,Experimental,Control
10,6,1766.628,3.860596,Experimental,Control
11,4,1818.009,2.146851,Experimental,Control
12,5,1885.686,3.640625,Experimental,Control
