TimeShown, TimeAnswered, TimeDiff, IsCorrect, CurrentTrial, StimulusQuestion, TimeoutCounter
1458.499,1504.054,45.5553,True,0,_A1_CI_NSI_R180x,0
1506.142,1522.173,16.03137,True,1,_B1_CI_NSI_R0,0
1524.235,1564.587,40.35193,True,2,_A2_AC_SI_R180z,0
1566.658,1578.27,11.61133,True,3,_B2_AC_SI_R180x,0
1585.055,1602.465,17.40955,True,4,_A3_CI_NSI_R120z,0
1604.531,1622.401,17.86963,True,5,_B3_AC_SI_R180y,0
1624.454,1637.138,12.68359,True,6,_A4_AC_SI_R180x,0
1639.208,1665.895,26.68713,True,7,_B4_C_SI_R180y,0
1674.144,1707.577,33.43335,True,8,_A5_AC_SI_R180y,0
1709.653,1729.977,20.32373,False,9,_B5_C_SI_R120z,0
1732.016,1758.175,26.15906,True,10,_A6_AC_SI_R180z,0
1760.259,1798.313,38.05444,True,11,_B6_CI_NSI_R180x,0
1805.266,1836.682,31.41528,False,12,_A7_C_NSI_R180z,0
1838.738,1857.408,18.67017,True,13,_B7_AC_SI_R90z,0
1859.474,1900.418,40.9447,True,14,_A8_C_SI_R180y,0
1902.488,1918.325,15.83728,True,15,_B8_AC_SI_R60z,0
1923.211,1944.335,21.12329,True,16,_A9_C_NSI_R180y,0
1946.398,1970.713,24.31458,True,17,_B9_C_NSI_R90z,0
1972.777,1993.521,20.74402,True,18,_A10_C_SI_R180x,0
1995.618,2011.657,16.03882,True,19,_B10_C_NSI_R180x,0
2018.13,2027.663,9.533081,True,20,_A11_AC_SI_R180y,0
2029.729,2042.591,12.86121,True,21,_B11_CI_NSI_R120z,0
2044.674,2059.994,15.31921,True,22,_A12_C_NSI_R180x,0
2062.103,2078.818,16.71509,False,23,_B12_C_SI_R180x,0
2084.577,2099.365,14.78882,True,24,_A13_CI_NSI_R180x,0
2101.452,2113.824,12.37183,True,25,_B13_AC_SI_R180x,0
2115.896,2149.408,33.51245,False,26,_A14_AC_SI_R180x,0
2151.473,2186.378,34.90454,True,27,_B14_AC_SI_R180y,0
2192.561,2207.434,14.87329,True,28,_A15_C_SI_R120z,0
2209.511,2220.927,11.41577,True,29,_B15_CI_NSI_R180y,0
2223.024,2237.474,14.44995,True,30,_A16_CI_NSI_R0,0
2239.595,2254.381,14.78564,True,31,_B16_C_NSI_R180y,0
