square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 101
,,,,,,,,,,,,,,,,,0.0013868999958503,0.0037580000062007,0.0037580000062007,0.0037580000062007,1476.9405346999993,space,1476.929514699994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nabck49,1.0,2024-01-12_09h46.55.297,untitled,2023.2.3,59.927607450110514,2024-01-12 10h17.25.995339 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,1478.958413299988,,,,,,,,,,1476.940577500005,1476.9556028999796,1476.9556028999796,1476.9556028999796,1476.9556028999796,1476.9556028999796,1476.9556028999796,1476.9556028999796,1476.9556028999796,1476.9556028999796,1476.9556028999796,1476.9556028999796,1476.9556028999796,1477.939215899998,1477.9392323999782,1477.9556131999998,1478.958413299988,1478.9397798999853,1478.956495899998,1478.958413299988,1478.958413299988,1479.4389621999871,1479.4724806000013,1481.938985899993,1481.955807499995,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nabck49,1.0,2024-01-12_09h46.55.297,untitled,2023.2.3,59.927607450110514,2024-01-12 10h17.25.995339 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,1481.972306199983,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481.9568463999894,1481.972306199983,1481.972306199983,1482.4389093999926,1482.472258499998,1484.9389968999894,1484.955822799995,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nabck49,1.0,2024-01-12_09h46.55.297,untitled,2023.2.3,59.927607450110514,2024-01-12 10h17.25.995339 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,1484.9720687999798,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484.9566290999935,1484.9720687999798,1484.9720687999798,1485.4388824999917,1485.472143299994,1487.9387903999886,1487.9557952999894,space,1.0,0.3683420000015758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nabck49,1.0,2024-01-12_09h46.55.297,untitled,2023.2.3,59.927607450110514,2024-01-12 10h17.25.995339 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,1487.9723076999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487.9569970000011,1487.9723076999944,1487.9723076999944,1488.4389983,1488.472290799982,1490.938732599985,1490.955599399982,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nabck49,1.0,2024-01-12_09h46.55.297,untitled,2023.2.3,59.927607450110514,2024-01-12 10h17.25.995339 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,1490.972012199985,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490.956364999991,1490.972012199985,1490.972012199985,1491.4384895999974,1491.4719518999918,1493.9388842000044,1493.9556201999949,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nabck49,1.0,2024-01-12_09h46.55.297,untitled,2023.2.3,59.927607450110514,2024-01-12 10h17.25.995339 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,1493.9720830000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493.9565355999805,1493.9720830000006,1493.9720830000006,1494.4389075999788,1494.4721132999985,1496.938694499986,1496.9554806999804,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nabck49,1.0,2024-01-12_09h46.55.297,untitled,2023.2.3,59.927607450110514,2024-01-12 10h17.25.995339 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,1496.97190829998,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.9561346999835,1496.97190829998,1496.97190829998,1497.438625299983,1497.4719685000018,1499.9386011000024,1499.9553771000064,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nabck49,1.0,2024-01-12_09h46.55.297,untitled,2023.2.3,59.927607450110514,2024-01-12 10h17.25.995339 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,1499.972085299989,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499.9562043999904,1499.972085299989,1499.972085299989,1500.438633999991,1500.472032199992,1502.938769899978,1502.955279999995,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nabck49,1.0,2024-01-12_09h46.55.297,untitled,2023.2.3,59.927607450110514,2024-01-12 10h17.25.995339 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,1502.971871899994,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502.9560253999953,1502.971871899994,1502.971871899994,1503.438621599984,1503.4720678000012,1505.9385952999874,1505.9553746999882,space,1.0,0.3146842000132892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nabck49,1.0,2024-01-12_09h46.55.297,untitled,2023.2.3,59.927607450110514,2024-01-12 10h17.25.995339 -0500,
