FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,6,749.9016,8.434021,Tutorial,BaselineAquisition
2,3,780.6209,11.09052,Tutorial,FindX
3,7,820.214,11.03601,Tutorial,McDonalds
4,2,1134.738,9.322632,Rest,Control
5,4,1344.454,9.482666,Experimental,Control
6,5,1454.028,5.168701,Experimental,Control
7,6,1583.241,7.713623,Experimental,Control
8,7,1688.185,5.897705,Experimental,Control
9,7,1796.637,5.345581,Experimental,Control
10,7,1937.425,6.762207,Experimental,Control
11,6,2067.4,4.533936,Experimental,Control
12,6,2154.129,3.503418,Experimental,Control
