FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,2,607.5249,7.157166,Tutorial,BaselineAquisition
2,2,641.0267,6.713806,Tutorial,FindX
3,6,690.6536,22.41193,Tutorial,McDonalds
4,3,1010.379,12.62854,Rest,Control
5,5,1148.934,14.46106,Experimental,Control
6,6,1231.618,4.183228,Experimental,Control
7,6,1344.865,3.138184,Experimental,Control
8,6,1461.8,12.5719,Experimental,Control
9,7,1592.078,2.486206,Experimental,Control
10,6,1698.625,5.359131,Experimental,Control
11,7,1804.981,2.670166,Experimental,Control
12,7,1911.006,2.987427,Experimental,Control
