Timestamp,ActivePhase,EndActivePhase,CurrentTrial,StimulusQuestion
0.0,Start,,99,
355.7957,,EndofStart,99,
355.7957,Calibration,,99,
362.6794,,EndofCalibration,99,
362.6794,Tutorial,,99,
765.6035,,EndofTutorial,99,
765.6035,Rest,,99,
1065.613,,EndofRest,99,
1065.661,Feedback,,99,
1080.346,Experimental,,99,
1090.478,Experimental,,0,_A1_CI_NSI_R180x
1106.465,Experimental,,1,_B1_CI_NSI_R0
1128.05,Experimental,,2,_A2_AC_SI_R180z
1158.785,Experimental,,3,_B2_AC_SI_R180x
1172.891,Feedback,,99,
1197.097,Experimental,,99,
1197.097,Experimental,,4,_A3_CI_NSI_R120z
1222.497,Experimental,,5,_B3_AC_SI_R180y
1232.205,Experimental,,6,_A4_AC_SI_R180x
1241.276,Experimental,,7,_B4_C_SI_R180y
1252.783,Feedback,,99,
1256.319,Experimental,,99,
1256.319,Experimental,,8,_A5_AC_SI_R180y
1275.443,Experimental,,9,_B5_C_SI_R120z
1307.431,Experimental,,10,_A6_AC_SI_R180z
1327.341,Experimental,,11,_B6_CI_NSI_R180x
1351.393,Feedback,,99,
1356.986,Experimental,,99,
1356.986,Experimental,,12,_A7_C_NSI_R180z
1391.664,Experimental,,13,_B7_AC_SI_R90z
1402.251,Experimental,,14,_A8_C_SI_R180y
1435.814,Experimental,,15,_B8_AC_SI_R60z
1450.186,Feedback,,99,
1452.658,Experimental,,99,
1452.658,Experimental,,16,_A9_C_NSI_R180y
1468.651,Experimental,,17,_B9_C_NSI_R90z
1488.063,Experimental,,18,_A10_C_SI_R180x
1501.696,Experimental,,19,_B10_C_NSI_R180x
1530.98,Feedback,,99,
1534.455,Experimental,,99,
1534.455,Experimental,,20,_A11_AC_SI_R180y
1547.741,Experimental,,21,_B11_CI_NSI_R120z
1570.552,Experimental,,22,_A12_C_NSI_R180x
1594.031,Experimental,,23,_B12_C_SI_R180x
1627.847,Feedback,,99,
1633.141,Experimental,,99,
1633.141,Experimental,,24,_A13_CI_NSI_R180x
1645.791,Experimental,,25,_B13_AC_SI_R180x
1662.974,Experimental,,26,_A14_AC_SI_R180x
1684.584,Experimental,,27,_B14_AC_SI_R180y
1702.676,Feedback,,99,
1707.063,Experimental,,99,
1707.063,Experimental,,28,_A15_C_SI_R120z
1722.734,Experimental,,29,_B15_CI_NSI_R180y
1744.327,Experimental,,30,_A16_CI_NSI_R0
1775.724,Experimental,,31,_B16_C_NSI_R180y
1789.436,Feedback,,99,
1793.917,,EndofExperiment,99,
