FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,1,950.6106,12.43555,Tutorial,BaselineAquisition
2,1,979.5018,8.46698,Tutorial,FindX
3,8,1009.448,3.438232,Tutorial,McDonalds
4,1,1321.529,6.141235,Rest,Control
5,3,1445.43,4.231567,Experimental,Control
6,3,1539.986,3.697144,Experimental,Control
7,3,1625.814,2.421753,Experimental,Control
8,3,1703.586,1.753296,Experimental,Control
9,3,1780.739,1.876465,Experimental,Control
10,3,1856.492,3.270996,Experimental,Control
11,4,1957.016,2.524536,Experimental,Control
12,4,2023.228,2.13147,Experimental,Control
