FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,4,1238.004,28.17578,Tutorial,BaselineAquisition
2,1,1274.197,9.607056,Tutorial,FindX
3,8,1319.995,9.421143,Tutorial,McDonalds
4,2,1644.461,11.38123,Rest,Control
5,2,1768.897,5.247925,Experimental,Control
6,2,1834.283,3.225586,Experimental,Control
7,3,1936.676,5.275635,Experimental,Control
8,3,2002.85,3.513916,Experimental,Control
9,5,2243.857,132.4841,Experimental,Control
10,6,2302.367,3.846436,Experimental,Control
11,5,2372.976,3.359863,Experimental,Control
12,6,2493.31,4.216553,Experimental,Control
