FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,1,1025.229,8.421631,Tutorial,BaselineAquisition
2,2,1059.697,6.129028,Tutorial,FindX
3,5,1131.491,2.454346,Tutorial,McDonalds
4,1,1446.786,4.563965,Rest,Control
5,4,1524.059,5.974854,Experimental,Control
6,4,1590.761,3.221558,Experimental,Control
7,4,1669.238,3.577148,Experimental,Control
8,3,1728.686,3.03186,Experimental,Control
9,5,1807.917,4.239868,Experimental,Control
10,5,1881.31,7.4198,Experimental,Control
11,6,1957.592,2.504761,Experimental,Control
12,5,2052.254,7.530518,Experimental,Control
