square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0015452000079676509,0.004182100004982203,0.004182100004982203,0.004182100004982203,1447.8528017000062,space,1447.8344094000058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback38,001,2023-12-19_11h22.03.780,untitled,2023.2.3,60.01327493968806,2023-12-19 11h43.28.625539 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,1449.8702907999977,,,,,,,,,,1447.8528418000205,1447.867950999993,1447.867950999993,1447.867950999993,1447.867950999993,1447.867950999993,1447.867950999993,1447.867950999993,1447.867950999993,1447.867950999993,1447.867950999993,1447.867950999993,1447.867950999993,1448.8516128999763,1448.8516269999673,1448.868040499976,1449.8702907999977,1449.8525431000162,1449.8677612000029,1449.8702907999977,1449.8702907999977,1450.3514269000152,1450.3847435999778,1452.8512594000204,1452.868133299984,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback38,001,2023-12-19_11h22.03.780,untitled,2023.2.3,60.01327493968806,2023-12-19 11h43.28.625539 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,1452.8846918999916,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452.8691169999656,1452.8846918999916,1452.8846918999916,1453.3513649000088,1453.3848698000074,1455.8512217999669,1455.8682539999718,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback38,001,2023-12-19_11h22.03.780,untitled,2023.2.3,60.01327493968806,2023-12-19 11h43.28.625539 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,1455.8846865000087,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455.8689718999667,1455.8846865000087,1455.8846865000087,1456.3513143999735,1456.3846828999813,1458.8513161999872,1458.8683039000025,space,1,0.6771413999958895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback38,001,2023-12-19_11h22.03.780,untitled,2023.2.3,60.01327493968806,2023-12-19 11h43.28.625539 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,1458.884671000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.869441799994,1458.884671000007,1458.884671000007,1459.3509951999877,1459.3843864999944,1461.851178699988,1461.8680211000028,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback38,001,2023-12-19_11h22.03.780,untitled,2023.2.3,60.01327493968806,2023-12-19 11h43.28.625539 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,1461.8843769999803,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461.8687460999936,1461.8843769999803,1461.8843769999803,1462.3512409999967,1462.3844525999739,1464.8511311999755,1464.867966699996,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback38,001,2023-12-19_11h22.03.780,untitled,2023.2.3,60.01327493968806,2023-12-19 11h43.28.625539 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,1464.884603100014,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464.868783199985,1464.884603100014,1464.884603100014,1465.3510935999802,1465.3845634000027,1467.8510405999841,1467.8680125999963,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback38,001,2023-12-19_11h22.03.780,untitled,2023.2.3,60.01327493968806,2023-12-19 11h43.28.625539 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,1467.8845427000197,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467.8688377999933,1467.8845427000197,1467.8845427000197,1468.3511028999928,1468.384509399999,1470.8510792999878,1470.868057499989,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback38,001,2023-12-19_11h22.03.780,untitled,2023.2.3,60.01327493968806,2023-12-19 11h43.28.625539 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,1470.8845835999819,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470.8689716999652,1470.8845835999819,1470.8845835999819,1471.3509540999657,1471.3844080999843,1473.8509305000189,1473.8678367999964,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback38,001,2023-12-19_11h22.03.780,untitled,2023.2.3,60.01327493968806,2023-12-19 11h43.28.625539 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,1473.884355599992,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473.8685633999994,1473.884355599992,1473.884355599992,1474.3510080999695,1474.384236300015,1476.8510156999691,1476.867778600019,space,1,0.32934340002248064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback38,001,2023-12-19_11h22.03.780,untitled,2023.2.3,60.01327493968806,2023-12-19 11h43.28.625539 -0500,
9,"[0.2, -0.1]",None,0,9,9,9,,,,,,,,,1476.8844609999796,,,,,,,,,,,,,,,,,,,,,,,,,,,,1476.8687640000135,1476.8844609999796,1476.8844609999796,1477.35097650002,1477.3843371999683,1479.8507918000105,1479.8678511999897,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback38,001,2023-12-19_11h22.03.780,untitled,2023.2.3,60.01327493968806,2023-12-19 11h43.28.625539 -0500,
8,"[-0.2, -0.1]",None,0,10,10,10,,,,,,,,,1479.884373400011,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479.868621599977,1479.884373400011,1479.884373400011,1480.3507718999754,1480.3840553999762,1482.8508103999775,1482.867655000009,space,0,0.67921660002321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback38,001,2023-12-19_11h22.03.780,untitled,2023.2.3,60.01327493968806,2023-12-19 11h43.28.625539 -0500,
9,"[0.2, -0.1]",None,0,11,11,11,,,,,,,,,1482.884312500013,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482.8685283999657,1482.884312500013,1482.884312500013,1483.35094699997,1483.384248199989,1485.8507443999988,1485.8675027000136,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback38,001,2023-12-19_11h22.03.780,untitled,2023.2.3,60.01327493968806,2023-12-19 11h43.28.625539 -0500,
