FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,2,1118.159,9.344482,Tutorial,BaselineAquisition
2,1,1139.87,3.398071,Tutorial,FindX
3,3,1173.067,6.853027,Tutorial,McDonalds
4,1,1484.887,9.054199,Rest,Control
5,3,1579.053,5.184814,Experimental,Control
6,3,1680.651,4.315063,Experimental,Control
7,4,1808.031,2.746582,Experimental,Control
8,3,1884.673,2.34314,Experimental,Control
9,3,1972.372,1.709839,Experimental,Control
10,5,2068.876,2.854492,Experimental,Control
11,4,2159.045,2.465576,Experimental,Control
12,4,2248.968,2.527588,Experimental,Control
