Timestamp,ActivePhase,EndActivePhase,CurrentTrial,StimulusQuestion
0.0,Start,,99,
552.14,,EndofStart,99,
552.14,Calibration,,99,
580.5315,,EndofCalibration,99,
580.5315,Tutorial,,99,
1237.329,,EndofTutorial,99,
1237.329,Rest,,99,
1537.338,,EndofRest,99,
1537.392,Feedback,,99,
1550.034,Experimental,,99,
1624.899,Experimental,,0,_A1_CI_NSI_R180x
1674.061,Experimental,,1,_B1_CI_NSI_R0
1703.959,Experimental,,2,_A2_AC_SI_R180z
1747.464,Experimental,,3,_B2_AC_SI_R180x
1790.313,Feedback,,99,
1805.506,Experimental,,99,
1805.506,Experimental,,4,_A3_CI_NSI_R120z
1850.229,Experimental,,5,_B3_AC_SI_R180y
1894.194,Experimental,,6,_A4_AC_SI_R180x
1924.73,Experimental,,7,_B4_C_SI_R180y
1969.637,Feedback,,99,
1975.262,Experimental,,99,
1975.262,Experimental,,8,_A5_AC_SI_R180y
2025.349,Experimental,,9,_B5_C_SI_R120z
2066.416,Experimental,,10,_A6_AC_SI_R180z
2104.225,Experimental,,11,_B6_CI_NSI_R180x
2149.788,Feedback,,99,
2159.417,Experimental,,99,
2159.417,Experimental,,12,_A7_C_NSI_R180z
2206.342,Experimental,,13,_B7_AC_SI_R90z
2245.803,Experimental,,14,_A8_C_SI_R180y
2288.707,Experimental,,15,_B8_AC_SI_R60z
2331.294,Feedback,,99,
2339.893,Experimental,,99,
2339.893,Experimental,,16,_A9_C_NSI_R180y
2389.955,Experimental,,17,_B9_C_NSI_R90z
2422.729,Experimental,,18,_A10_C_SI_R180x
2464.211,Experimental,,19,_B10_C_NSI_R180x
2508.839,Feedback,,99,
2511.878,Experimental,,99,
2511.878,Experimental,,20,_A11_AC_SI_R180y
2529.985,Experimental,,21,_B11_CI_NSI_R120z
2572.328,Experimental,,22,_A12_C_NSI_R180x
2613.442,Experimental,,23,_B12_C_SI_R180x
2654.68,Feedback,,99,
2659.094,Experimental,,99,
2659.094,Experimental,,24,_A13_CI_NSI_R180x
2704.845,Experimental,,25,_B13_AC_SI_R180x
2747.562,Experimental,,26,_A14_AC_SI_R180x
2793.415,Experimental,,27,_B14_AC_SI_R180y
2840.094,Feedback,,99,
2843.492,Experimental,,99,
2843.492,Experimental,,28,_A15_C_SI_R120z
2877.721,Experimental,,29,_B15_CI_NSI_R180y
2918.905,Experimental,,30,_A16_CI_NSI_R0
2957.134,Experimental,,31,_B16_C_NSI_R180y
2988.27,Feedback,,99,
2991.031,,EndofExperiment,99,
