square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0012215000024298206,0.003905799996573478,0.003905799996573478,0.003905799996573478,1312.0288535,space,1312.0087551000033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback81,001,2024-02-02_14h04.10.928,untitled,2023.2.3,60.004884394615374,2024-02-02 14h17.30.733988 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,1314.044147099994,,,,,,,,,,1312.028883699997,1312.0442067999975,1312.0442067999975,1312.0442067999975,1312.0442067999975,1312.0442067999975,1312.0442067999975,1312.0442067999975,1312.0442067999975,1312.0442067999975,1312.0442067999975,1312.0442067999975,1312.0442067999975,1313.0279812999943,1313.0279940000037,1313.0441208999982,1314.044147099994,1314.027952400007,1314.038179199997,1314.044147099994,1314.044147099994,1314.527487600004,1314.5443169000064,1317.0274403999938,1317.0441280999949,1317.0278254000004,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback81,001,2024-02-02_14h04.10.928,untitled,2023.2.3,60.004884394615374,2024-02-02 14h17.30.733988 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,1317.0441280999949,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.0283182999992,1317.0441280999949,1317.0441280999949,1317.5274437000044,1317.544107499998,1320.0274600999983,1320.0441043000028,1320.0280135999928,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback81,001,2024-02-02_14h04.10.928,untitled,2023.2.3,60.004884394615374,2024-02-02 14h17.30.733988 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,1320.0441043000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.0284109000058,1320.0441043000028,1320.0441043000028,1320.5274377000023,1320.5441714000044,1323.0273547999968,1323.0440742999926,1323.0277751999965,space,1,0.40458200000284705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback81,001,2024-02-02_14h04.10.928,untitled,2023.2.3,60.004884394615374,2024-02-02 14h17.30.733988 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,1323.0440742999926,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.0285577000031,1323.0440742999926,1323.0440742999926,1323.5273408000066,1323.5440923999995,1326.0273691000039,1326.0439849999966,1326.0278059999982,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback81,001,2024-02-02_14h04.10.928,untitled,2023.2.3,60.004884394615374,2024-02-02 14h17.30.733988 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,1326.0439849999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326.0281182000035,1326.0439849999966,1326.0439849999966,1326.5273891999968,1326.5439678999974,1329.0273301999987,1329.0439496000035,1329.0277262000018,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback81,001,2024-02-02_14h04.10.928,untitled,2023.2.3,60.004884394615374,2024-02-02 14h17.30.733988 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,1329.0439496000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.0280839000043,1329.0439496000035,1329.0439496000035,1329.527274699998,1329.5439328000066,1332.0271856000036,1332.043822000007,1332.0276351999928,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback81,001,2024-02-02_14h04.10.928,untitled,2023.2.3,60.004884394615374,2024-02-02 14h17.30.733988 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,1332.043822000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332.0279643999966,1332.043822000007,1332.043822000007,1332.527312899998,1332.543822599997,1335.027222100005,1335.0438280999952,1335.027734999996,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback81,001,2024-02-02_14h04.10.928,untitled,2023.2.3,60.004884394615374,2024-02-02 14h17.30.733988 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,1335.0438280999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335.0280590000039,1335.0438280999952,1335.0438280999952,1335.5272647999955,1335.5438218000054,1338.0270924999932,1338.0438130999974,1338.0275526000041,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback81,001,2024-02-02_14h04.10.928,untitled,2023.2.3,60.004884394615374,2024-02-02 14h17.30.733988 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,1338.0438130999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338.0278881999984,1338.0438130999974,1338.0438130999974,1338.5271478000068,1338.5437454000057,1341.0270977000037,1341.043728100005,1341.0276344000013,space,1,0.6701402000035159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback81,001,2024-02-02_14h04.10.928,untitled,2023.2.3,60.004884394615374,2024-02-02 14h17.30.733988 -0500,
