FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,4,1151.562,9.827026,Tutorial,BaselineAquisition
2,1,1177.903,4.36145,Tutorial,FindX
3,5,1209.988,4.415527,Tutorial,McDonalds
4,1,1520.004,6.070557,Rest,Control
5,4,1678.167,5.243042,Experimental,Control
6,4,1751.473,5.570313,Experimental,Control
7,5,1874.617,5.76123,Experimental,Control
8,4,1948.405,4.326904,Experimental,Control
9,4,2019.995,2.372803,Experimental,Control
10,4,2100.405,4.909668,Experimental,Control
11,4,2177.394,2.586426,Experimental,Control
12,5,2262.006,2.82959,Experimental,Control
