square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 100
,,,,,,,,,,,,,,,,,0.0015308000147342,0.0039779001381248,0.0039779001381248,0.0039779001381248,1926.302824800136,space,1926.296663200017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,1928.3220440000296,,,,,,,,,,1926.3028613999488,1926.3182741000785,1926.3182741000785,1926.3182741000785,1926.3182741000785,1926.3182741000785,1926.3182741000785,1926.3182741000785,1926.3182741000785,1926.3182741000785,1926.3182741000785,1926.3182741000785,1926.3182741000785,1927.3026386001147,1927.302667499985,1927.3181994000915,1928.3220440000296,1928.3023354001343,1928.3200580000407,1928.3220440000296,1928.3220440000296,1928.8181094001047,1928.8349127999973,1931.318523500115,1931.3187383001205,space,0.0,2.6910403000656515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,1931.3351263001096,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931.320110199973,1931.3351263001096,1931.3351263001096,1931.801445200108,1931.8347537999507,1934.3016642001455,1934.3186027000197,space,0.0,1.9765313998796048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,1934.335112000117,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934.3195361001417,1934.335112000117,1934.335112000117,1934.818439600058,1934.835123999976,1937.3184299999848,1937.3186350001488,space,1.0,1.1475251999218017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,1937.3351058000696,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937.3195875000677,1937.3351058000696,1937.3351058000696,1937.801493200008,1937.8349961999336,1940.301618500147,1940.3184458999892,space,0.0,0.8268510999623686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,1940.3350289000664,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940.3194206999613,1940.3350289000664,1940.3350289000664,1940.8015400001316,1940.8348157000728,1943.301383299986,1943.3182340001224,space,0.0,0.6407480000052601,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,1943.334787900094,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943.3188855999613,1943.334787900094,1943.334787900094,1943.8181315001568,1943.8349274999928,1946.318089999957,1946.3182665000204,space,0.0,0.7507370999082923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,1946.33500620001,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946.319119000109,1946.33500620001,1946.33500620001,1946.8180911000816,1946.8348886000456,1949.3181998000944,1949.31841409998,space,0.0,0.8935467998962849,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,1949.3348241001368,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949.3194429001303,1949.3348241001368,1949.3348241001368,1949.818228499964,1949.8348095000256,1952.3181262,1952.318318099948,space,0.0,0.8276234001386911,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,1952.3348735000477,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952.3192402001005,1952.3348735000477,1952.3348735000477,1952.8181962000672,1952.8346941000784,1955.318092300091,1955.318305999972,space,1.0,0.7967467000707984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
9.0,"[0.2, -0.1]",None,0.0,9.0,9.0,9.0,,,,,,,,,1955.3347577999807,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955.319294499932,1955.3347577999807,1955.3347577999807,1955.818016800098,1955.8348787000868,1958.3179959000556,1958.3182111999488,space,0.0,0.5801882999949157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
8.0,"[-0.2, -0.1]",None,0.0,10.0,10.0,10.0,,,,,,,,,1958.334593700012,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958.319196100114,1958.334593700012,1958.334593700012,1958.8179170000367,1958.834639800014,1961.317803800106,1961.3179963000584,space,0.0,0.7802453001495451,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
9.0,"[0.2, -0.1]",None,0.0,11.0,11.0,11.0,,,,,,,,,1961.3343957001343,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961.318924400024,1961.3343957001343,1961.3343957001343,1961.818101400044,1961.834573599976,1964.317866400117,1964.3180563000496,space,0.0,0.5419117999263108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
6.0,"[-0.3, 0]",None,0.0,12.0,12.0,12.0,,,,,,,,,1964.3347039001528,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.3189203001093,1964.3347039001528,1964.3347039001528,1964.8178600000683,1964.8346317000687,1967.317756399978,1967.3179387999696,space,0.0,0.7146657998673618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
9.0,"[0.2, -0.1]",None,0.0,13.0,13.0,13.0,,,,,,,,,1967.334289500024,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.318908700021,1967.334289500024,1967.334289500024,1967.8177620000208,1967.8344817000907,1970.3177768001333,1970.3179783001544,space,0.0,0.6162592000328004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback73,1.0,2024-01-29_10h20.45.012,untitled,2023.2.3,60.05212525012914,2024-01-29 10h47.54.299697 -0500,
