FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,1,922.6213,8.453674,Tutorial,BaselineAquisition
2,1,944.3939,5.514771,Tutorial,FindX
3,4,976.3482,6.016663,Tutorial,McDonalds
4,1,1299.953,17.22668,Rest,Control
5,2,1412.851,8.756226,Experimental,Control
6,2,1468.476,2.175171,Experimental,Control
7,4,1564.612,3.0448,Experimental,Control
8,5,1643.578,3.220459,Experimental,Control
9,5,1766.955,2.2146,Experimental,Control
10,5,1850.279,1.919434,Experimental,Control
11,5,1927.879,1.622803,Experimental,Control
12,5,1987.966,5.879639,Experimental,Control
