square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0014533000066876411,0.008067799994023517,0.008067799994023517,0.008067799994023517,35.499910699989414,space,35.48635459999787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback28,001,2023-12-14_17h46.02.251,untitled,2023.2.3,60.02339712716013,2023-12-14 18h29.07.666701 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,37.51500970000052,,,,,,,,,,35.49994159999187,35.5150394999946,35.5150394999946,35.5150394999946,35.5150394999946,35.5150394999946,35.5150394999946,35.5150394999946,35.5150394999946,35.5150394999946,35.5150394999946,35.5150394999946,35.5150394999946,36.49903259999701,36.49904759999481,36.514969599986216,37.51500970000052,37.49925799999619,37.51177139999345,37.51500970000052,37.51500970000052,37.998346199980006,38.01498390000779,40.498496599990176,40.51507729999139,40.49928429999272,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback28,001,2023-12-14_17h46.02.251,untitled,2023.2.3,60.02339712716013,2023-12-14 18h29.07.666701 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,40.51507729999139,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.500173299980816,40.51507729999139,40.51507729999139,40.99833719999879,41.014973899989855,43.498502400005236,43.515174000000115,43.49940780000179,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback28,001,2023-12-14_17h46.02.251,untitled,2023.2.3,60.02339712716013,2023-12-14 18h29.07.666701 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,43.515174000000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.50023669999791,43.515174000000115,43.515174000000115,43.998296300007496,44.01498239999637,46.498215400002664,46.5150262999814,46.49912459999905,space,1,0.4233749999839347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback28,001,2023-12-14_17h46.02.251,untitled,2023.2.3,60.02339712716013,2023-12-14 18h29.07.666701 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,46.5150262999814,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.500219199981075,46.5150262999814,46.5150262999814,46.998245900002075,47.01492529999814,49.49832869999227,49.514884999982314,49.49928910000017,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback28,001,2023-12-14_17h46.02.251,untitled,2023.2.3,60.02339712716013,2023-12-14 18h29.07.666701 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,49.514884999982314,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.50015119998716,49.514884999982314,49.514884999982314,49.99835829998483,50.01505210000323,52.49820770000224,52.51475689999643,52.49892270000419,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback28,001,2023-12-14_17h46.02.251,untitled,2023.2.3,60.02339712716013,2023-12-14 18h29.07.666701 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,52.51475689999643,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.49930530000711,52.51475689999643,52.51475689999643,52.99813429999631,53.014861100004055,55.498228499986,55.51494900000398,55.49914189998526,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback28,001,2023-12-14_17h46.02.251,untitled,2023.2.3,60.02339712716013,2023-12-14 18h29.07.666701 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,55.51494900000398,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.49987749999855,55.51494900000398,55.51494900000398,55.99823659998947,56.01508489999105,58.4980033999891,58.514801899989834,58.49860309998621,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback28,001,2023-12-14_17h46.02.251,untitled,2023.2.3,60.02339712716013,2023-12-14 18h29.07.666701 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,58.514801899989834,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.49912100000074,58.514801899989834,58.514801899989834,58.998125899990555,59.01470139998128,61.498105000006035,61.51473199998145,61.49885079998057,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback28,001,2023-12-14_17h46.02.251,untitled,2023.2.3,60.02339712716013,2023-12-14 18h29.07.666701 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,61.51473199998145,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.49972719998914,61.51473199998145,61.51473199998145,61.99802769999951,62.01487439998891,64.49806529999478,64.5147566999949,64.49888599998667,space,1,0.3889192000206094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback28,001,2023-12-14_17h46.02.251,untitled,2023.2.3,60.02339712716013,2023-12-14 18h29.07.666701 -0500,
