FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,4,745.4111,9.10376,Tutorial,BaselineAquisition
2,2,766.3397,4.098022,Tutorial,FindX
3,6,814.146,19.75244,Tutorial,McDonalds
4,1,1156.917,9.969971,Rest,Control
5,3,1278.182,8.432861,Experimental,Control
6,3,1338.786,6.038818,Experimental,Control
7,4,1416.992,11.13452,Experimental,Control
8,4,1484.709,5.12915,Experimental,Control
9,6,1580.917,14.46008,Experimental,Control
10,4,1648.164,6.20813,Experimental,Control
11,6,1778.971,15.17847,Experimental,Control
12,7,1880.229,10.71851,Experimental,Control
