FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,3,1152.46,10.68884,Tutorial,BaselineAquisition
2,1,1174.715,6.019409,Tutorial,FindX
3,4,1207.597,6.571533,Tutorial,McDonalds
4,1,1517.88,5.781616,Rest,Control
5,3,1654.247,5.682495,Experimental,Control
6,4,1753.717,4.811401,Experimental,Control
7,4,1837.085,2.187622,Experimental,Control
8,4,1916.374,1.555786,Experimental,Control
9,5,2049.344,2.71936,Experimental,Control
10,5,2127.463,1.387939,Experimental,Control
11,5,2206.372,1.227783,Experimental,Control
12,5,2267.304,1.522461,Experimental,Control
