square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 103
9.0,"[0.2, -0.1]",None,0.0,9.0,9.0,9.0,,,,,,,,,1795.3506485000253,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795.3346432999242,1795.3506485000253,1795.3506485000253,1795.817470900016,1795.8507256999146,1798.3174403000155,1798.334193999879,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
8.0,"[-0.2, -0.1]",None,0.0,10.0,10.0,10.0,,,,,,,,,1798.350747300079,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798.3349647000432,1798.350747300079,1798.350747300079,1798.81741899997,1798.8506779000163,1801.317407900002,1801.334206199972,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
9.0,"[0.2, -0.1]",None,0.0,11.0,11.0,11.0,,,,,,,,,1801.3507437000517,,,,,,,,,,,,,,,,,,,,,,,,,,,,1801.3350267000496,1801.3507437000517,1801.3507437000517,1801.8341331998815,1801.850765999872,1804.333997499896,1804.3342494999524,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
6.0,"[-0.3, 0]",None,0.0,12.0,12.0,12.0,,,,,,,,,1804.350465399912,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804.3350643999877,1804.350465399912,1804.350465399912,1804.8341069000307,1804.8507032999769,1807.334028699901,1807.33422910003,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
9.0,"[0.2, -0.1]",None,0.0,13.0,13.0,13.0,,,,,,,,,1807.3506789999085,,,,,,,,,,,,,,,,,,,,,,,,,,,,1807.335029500071,1807.3506789999085,1807.3506789999085,1807.8339945999903,1807.850647599902,1810.333849200048,1810.3340203999544,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
7.0,"[0.3, 0]",None,0.0,14.0,14.0,14.0,,,,,,,,,1810.3504301998764,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810.3347108999733,1810.3504301998764,1810.3504301998764,1810.8338337999303,1810.8505420000288,1813.3339072000235,1813.3340942000505,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
2.0,"[0.64, 0.4]",None,0.0,15.0,15.0,15.0,,,,,,,,,1813.350477400003,,,,,,,,,,,,,,,,,,,,,,,,,,,,1813.3348505999893,1813.350477400003,1813.350477400003,1813.8339986999051,1813.8504818999209,1816.333907400025,1816.3341059000231,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
2.0,"[0.64, 0.4]",None,0.0,16.0,16.0,16.0,,,,,,,,,1816.3503672000952,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816.33495109994,1816.3503672000952,1816.3503672000952,1816.833881800063,1816.8504377999343,1819.3336640000343,1819.3338293998968,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
11.0,"[-0.64, -0.4]",space,0.0,17.0,17.0,17.0,,,,,,,,,1819.350244600093,,,,,,,,,,,,,,,,,,,,,,,,,,,,1819.334559299983,1819.350244600093,1819.350244600093,1819.8337097999172,1819.8504033999047,1822.3335778000765,1822.3337151999583,space,1.0,0.3965765000320971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
11.0,"[-0.64, -0.4]",space,0.0,18.0,18.0,18.0,,,,,,,,,1822.350190399913,,,,,,,,,,,,,,,,,,,,,,,,,,,,1822.3343187000137,1822.350190399913,1822.350190399913,1822.8340298000255,1822.8501071000935,1825.333471500082,1825.3336284998804,space,1.0,0.4838753999210894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
