FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,1,826.7253,9.32019,Tutorial,BaselineAquisition
2,1,847.3482,2.984558,Tutorial,FindX
3,4,880.3044,4.615845,Tutorial,McDonalds
4,1,1189.103,4.387329,Rest,Control
5,2,1290.004,2.788452,Experimental,Control
6,2,1357.949,4.773804,Experimental,Control
7,2,1453.662,3.61438,Experimental,Control
8,2,1536.55,2.392944,Experimental,Control
9,3,1645.997,1.405884,Experimental,Control
10,4,1761.444,4.214722,Experimental,Control
11,5,1873.236,5.1875,Experimental,Control
12,5,1978.239,1.629517,Experimental,Control
