FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,3,689.8552,9.283752,Tutorial,BaselineAquisition
2,1,725.7606,1.988098,Tutorial,FindX
3,6,766.5881,4.938965,Tutorial,McDonalds
4,3,1108.334,23.67322,Rest,Control
5,4,1210.694,15.604,Experimental,Control
6,3,1271.122,4.242676,Experimental,Control
7,4,1347.598,5.050781,Experimental,Control
8,5,1427.605,3.949829,Experimental,Control
9,5,1515.082,3.198486,Experimental,Control
10,5,1587.122,3.493774,Experimental,Control
11,5,1694.516,4.997803,Experimental,Control
12,5,1793.321,1.978394,Experimental,Control
