FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,4,1047.064,11.62842,Tutorial,BaselineAquisition
2,2,1072.085,4.57605,Tutorial,FindX
3,8,1106.473,5.618774,Tutorial,McDonalds
4,1,1426.778,14.2937,Rest,Control
5,4,1570.595,6.146606,Experimental,Control
6,4,1648.114,5.011108,Experimental,Control
7,5,1782.064,3.47644,Experimental,Control
8,5,1874.656,4.947388,Experimental,Control
9,5,2003.069,4.005615,Experimental,Control
10,6,2099.586,2.909912,Experimental,Control
11,5,2226.905,2.843018,Experimental,Control
12,5,2315.193,2.67627,Experimental,Control
