Timestamp,ActivePhase,EndActivePhase,CurrentTrial,StimulusQuestion
0.0,Start,,99,
464.9645,,EndofStart,99,
464.9645,Calibration,,99,
492.7985,,EndofCalibration,99,
492.7985,Tutorial,,99,
965.9312,,EndofTutorial,99,
965.9312,Rest,,99,
1265.932,,EndofRest,99,
1265.982,Feedback,,99,
1279.53,Experimental,,99,
1328.538,Experimental,,0,_A1_CI_NSI_R180x
1371.028,Experimental,,1,_B1_CI_NSI_R0
1397.716,Experimental,,2,_A2_AC_SI_R180z
1436.12,Experimental,,3,_B2_AC_SI_R180x
1446.693,Feedback,,99,
1455.414,Experimental,,99,
1455.414,Experimental,,4,_A3_CI_NSI_R120z
1491.974,Experimental,,5,_B3_AC_SI_R180y
1522.719,Experimental,,6,_A4_AC_SI_R180x
1568.896,Experimental,,7,_B4_C_SI_R180y
1591.632,Feedback,,99,
1598.649,Experimental,,99,
1598.649,Experimental,,8,_A5_AC_SI_R180y
1630.559,Experimental,,9,_B5_C_SI_R120z
1669.528,Experimental,,10,_A6_AC_SI_R180z
1696.136,Experimental,,11,_B6_CI_NSI_R180x
1729.097,Feedback,,99,
1734.606,Experimental,,99,
1734.606,Experimental,,12,_A7_C_NSI_R180z
1778.708,Experimental,,13,_B7_AC_SI_R90z
1813.23,Experimental,,14,_A8_C_SI_R180y
1857.561,Experimental,,15,_B8_AC_SI_R60z
1879.162,Feedback,,99,
1883.293,Experimental,,99,
1883.293,Experimental,,16,_A9_C_NSI_R180y
1928.296,Experimental,,17,_B9_C_NSI_R90z
1967.244,Experimental,,18,_A10_C_SI_R180x
1981.009,Experimental,,19,_B10_C_NSI_R180x
2028.03,Feedback,,99,
2033.385,Experimental,,99,
2033.385,Experimental,,20,_A11_AC_SI_R180y
2078.137,Experimental,,21,_B11_CI_NSI_R120z
2116.808,Experimental,,22,_A12_C_NSI_R180x
2162.148,Experimental,,23,_B12_C_SI_R180x
2207.5,Feedback,,99,
2212.392,Experimental,,99,
2212.392,Experimental,,24,_A13_CI_NSI_R180x
2241.545,Experimental,,25,_B13_AC_SI_R180x
2284.936,Experimental,,26,_A14_AC_SI_R180x
2326.679,Experimental,,27,_B14_AC_SI_R180y
2365.983,Feedback,,99,
2372.214,Experimental,,99,
2372.214,Experimental,,28,_A15_C_SI_R120z
2415.14,Experimental,,29,_B15_CI_NSI_R180y
2446.593,Experimental,,30,_A16_CI_NSI_R0
2492.492,Experimental,,31,_B16_C_NSI_R180y
2536.932,Feedback,,99,
2541.258,,EndofExperiment,99,
