FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,5,1029.282,10.99524,Tutorial,BaselineAquisition
2,2,1055.723,6.484375,Tutorial,FindX
3,4,1087.212,2.292603,Tutorial,McDonalds
4,4,1399.246,6.107422,Rest,Control
5,5,1545.509,5.807617,Experimental,Control
6,5,1614.769,2.647705,Experimental,Control
7,5,1709.937,2.443604,Experimental,Control
8,5,1777.28,1.487183,Experimental,Control
9,6,1855.903,1.711548,Experimental,Control
10,7,1920.426,1.867065,Experimental,Control
11,6,1989.964,3.311157,Experimental,Control
12,6,2045.335,1.572632,Experimental,Control
