FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,4,1111.622,7.650513,Tutorial,BaselineAquisition
2,2,1140.266,7.427734,Tutorial,FindX
3,6,1175.519,8.042603,Tutorial,McDonalds
4,1,1491.516,9.105957,Rest,Control
5,5,1635.407,7.362061,Experimental,Control
6,5,1749.535,4.288574,Experimental,Control
7,4,1832.496,4.254883,Experimental,Control
8,4,1912.171,2.704712,Experimental,Control
9,6,2048.852,3.809814,Experimental,Control
10,6,2147.235,3.639648,Experimental,Control
11,6,2264.196,3.845215,Experimental,Control
12,6,2377.333,3.311768,Experimental,Control
