FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,1,881.6299,6.13446,Tutorial,BaselineAquisition
2,1,901.8232,2.924011,Tutorial,FindX
3,7,934.363,6.632446,Tutorial,McDonalds
4,1,1245.651,7.827393,Rest,Control
5,2,1362.987,3.49292,Experimental,Control
6,3,1484.858,2.644775,Experimental,Control
7,4,1604.758,3.20874,Experimental,Control
8,3,1686.549,2.042603,Experimental,Control
9,4,1776.157,2.324951,Experimental,Control
10,3,1855.176,1.79834,Experimental,Control
11,5,1951.81,1.736328,Experimental,Control
12,5,2043.109,3.199585,Experimental,Control
