Timestamp,ActivePhase,EndActivePhase,CurrentTrial,StimulusQuestion
0.0,Start,,99,
442.9685,,EndofStart,99,
442.9685,Calibration,,99,
450.2832,,EndofCalibration,99,
450.2832,Tutorial,,99,
807.4471,,EndofTutorial,99,
807.4471,Rest,,99,
1107.45,,EndofRest,99,
1107.488,Feedback,,99,
1116.41,Experimental,,99,
1126.142,Experimental,,0,_A1_CI_NSI_R180x
1153.937,Experimental,,1,_B1_CI_NSI_R0
1173.873,Experimental,,2,_A2_AC_SI_R180z
1201.016,Experimental,,3,_B2_AC_SI_R180x
1212.128,Feedback,,99,
1217.0,Experimental,,99,
1217.0,Experimental,,4,_A3_CI_NSI_R120z
1238.276,Experimental,,5,_B3_AC_SI_R180y
1266.013,Experimental,,6,_A4_AC_SI_R180x
1309.888,Experimental,,7,_B4_C_SI_R180y
1341.807,Feedback,,99,
1348.82,Experimental,,99,
1348.82,Experimental,,8,_A5_AC_SI_R180y
1399.136,Experimental,,9,_B5_C_SI_R120z
1431.099,Experimental,,10,_A6_AC_SI_R180z
1454.355,Experimental,,11,_B6_CI_NSI_R180x
1491.183,Feedback,,99,
1494.637,Experimental,,99,
1494.637,Experimental,,12,_A7_C_NSI_R180z
1513.844,Experimental,,13,_B7_AC_SI_R90z
1553.5,Experimental,,14,_A8_C_SI_R180y
1576.388,Experimental,,15,_B8_AC_SI_R60z
1593.17,Feedback,,99,
1596.412,Experimental,,99,
1596.412,Experimental,,16,_A9_C_NSI_R180y
1616.759,Experimental,,17,_B9_C_NSI_R90z
1653.735,Experimental,,18,_A10_C_SI_R180x
1681.351,Experimental,,19,_B10_C_NSI_R180x
1722.821,Feedback,,99,
1725.764,Experimental,,99,
1725.764,Experimental,,20,_A11_AC_SI_R180y
1753.984,Experimental,,21,_B11_CI_NSI_R120z
1791.284,Experimental,,22,_A12_C_NSI_R180x
1810.472,Experimental,,23,_B12_C_SI_R180x
1841.089,Feedback,,99,
1844.97,Experimental,,99,
1844.97,Experimental,,24,_A13_CI_NSI_R180x
1867.444,Experimental,,25,_B13_AC_SI_R180x
1892.602,Experimental,,26,_A14_AC_SI_R180x
1938.701,Experimental,,27,_B14_AC_SI_R180y
1959.313,Feedback,,99,
1961.078,Experimental,,99,
1961.078,Experimental,,28,_A15_C_SI_R120z
1994.124,Experimental,,29,_B15_CI_NSI_R180y
2020.579,Experimental,,30,_A16_CI_NSI_R0
2043.566,Experimental,,31,_B16_C_NSI_R180y
2074.804,Feedback,,99,
2076.764,,EndofExperiment,99,
