square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,"[0.2, -0.1]",None,0,9,9,9,,,,,,,,,112.27104010002222,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.2565018000314,112.27104010002222,112.27104010002222,112.75457960006315,112.77114070008975,115.25440910004545,115.27111110009719,115.2552004000172,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
8,"[-0.2, -0.1]",None,0,10,10,10,,,,,,,,,115.27111110009719,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.2558004000457,115.27111110009719,115.27111110009719,115.75451330002397,115.7711791000329,118.2545549001079,118.27102210000157,118.25546140002552,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
9,"[0.2, -0.1]",None,0,11,11,11,,,,,,,,,118.27102210000157,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.25629270006903,118.27102210000157,118.27102210000157,118.7544289000798,118.77182420005556,121.25444090005476,121.27106850000564,121.25546740007121,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
6,"[-0.3, 0]",None,0,12,12,12,,,,,,,,,121.27106850000564,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.25624120002612,121.27106850000564,121.27106850000564,121.77103100006934,121.77103100006934,124.2710456000641,124.2710456000641,124.2549227999989,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
9,"[0.2, -0.1]",None,0,13,13,13,,,,,,,,,124.2710456000641,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.2555122000631,124.2710456000641,124.2710456000641,124.77099510002881,124.77099510002881,127.27088820002973,127.27088820002973,127.25491200003307,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
7,"[0.3, 0]",None,0,14,14,14,,,,,,,,,127.27088820002973,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.25542230007704,127.27088820002973,127.27088820002973,127.77115260006394,127.77115260006394,130.27084450004622,130.27084450004622,130.2552100000903,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
2,"[0.64, 0.4]",None,0,15,15,15,,,,,,,,,130.27084450004622,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.25599500001408,130.27084450004622,130.27084450004622,130.77087670005858,130.77087670005858,133.27072340005543,133.27072340005543,133.2551448000595,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
2,"[0.64, 0.4]",None,0,16,16,16,,,,,,,,,133.27072340005543,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.25584630004596,133.27072340005543,133.27072340005543,133.77099370001815,133.77099370001815,136.27085269999225,136.27085269999225,136.25490660010837,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
11,"[-0.64, -0.4]",space,0,17,17,17,,,,,,,,,136.27085269999225,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.25549840007443,136.27085269999225,136.27085269999225,136.77093130000867,136.77093130000867,139.270828000037,139.270828000037,139.25429340009578,space,1,0.3800741999875754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
11,"[-0.64, -0.4]",space,0,18,18,18,,,,,,,,,139.270828000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.25468100002035,139.270828000037,139.270828000037,139.77059430000372,139.77059430000372,142.27073300001211,142.27073300001211,142.25496650009882,space,1,0.44691559998318553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
