square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 103
9.0,"[0.2, -0.1]",None,0.0,9.0,9.0,9.0,,,,,,,,,2050.1199941000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.1038698000048,2050.1199941000086,2050.1199941000086,2050.586001200005,2050.619646800013,2053.0862375,2053.103169000009,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
8.0,"[-0.2, -0.1]",None,0.0,10.0,10.0,10.0,,,,,,,,,2053.1197975000105,,,,,,,,,,,,,,,,,,,,,,,,,,,,2053.1040176000097,2053.1197975000105,2053.1197975000105,2053.5864022000023,2053.6196524000115,2056.086284600009,2056.1031074000057,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
9.0,"[0.2, -0.1]",None,0.0,11.0,11.0,11.0,,,,,,,,,2056.1195354000083,,,,,,,,,,,,,,,,,,,,,,,,,,,,2056.1038819000096,2056.1195354000083,2056.1195354000083,2056.586417300001,2056.619724500008,2059.086129100004,2059.1031395000027,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
6.0,"[-0.3, 0]",None,0.0,12.0,12.0,12.0,,,,,,,,,2059.1194773000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,2059.103993200013,2059.1194773000025,2059.1194773000025,2059.586158300008,2059.6195437000133,2062.0861233000032,2062.103041200011,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
9.0,"[0.2, -0.1]",None,0.0,13.0,13.0,13.0,,,,,,,,,2062.11940760001,,,,,,,,,,,,,,,,,,,,,,,,,,,,2062.103949600001,2062.11940760001,2062.11940760001,2062.585957300005,2062.619357300005,2065.0861726000003,2065.103037500012,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
7.0,"[0.3, 0]",None,0.0,14.0,14.0,14.0,,,,,,,,,2065.119379300013,,,,,,,,,,,,,,,,,,,,,,,,,,,,2065.1039099000045,2065.119379300013,2065.119379300013,2065.586056500004,2065.619498800006,2068.0862078000064,2068.1028517000086,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
2.0,"[0.64, 0.4]",None,0.0,15.0,15.0,15.0,,,,,,,,,2068.119344200008,,,,,,,,,,,,,,,,,,,,,,,,,,,,2068.103606500008,2068.119344200008,2068.119344200008,2068.6025129000045,2068.6193760000024,2071.102728700004,2071.102940200013,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
2.0,"[0.64, 0.4]",None,0.0,16.0,16.0,16.0,,,,,,,,,2071.1194838000083,,,,,,,,,,,,,,,,,,,,,,,,,,,,2071.1037858000054,2071.1194838000083,2071.1194838000083,2071.585829100004,2071.619323200008,2074.085953700007,2074.1026817000093,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
11.0,"[-0.64, -0.4]",space,0.0,17.0,17.0,17.0,,,,,,,,,2074.119255800004,,,,,,,,,,,,,,,,,,,,,,,,,,,,2074.10337170001,2074.119255800004,2074.119255800004,2074.602438800008,2074.61915150001,2077.102483200011,2077.102641800011,space,1.0,0.4771232000057352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
11.0,"[-0.64, -0.4]",space,0.0,18.0,18.0,18.0,,,,,,,,,2077.1191936000105,,,,,,,,,,,,,,,,,,,,,,,,,,,,2077.1033748000045,2077.1191936000105,2077.1191936000105,2077.6023174,2077.6192003000037,2080.1025104,2080.102685200007,space,1.0,0.5803462000039872,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
