Timestamp, ActivePhase, EndActivePhase, CurrentTrial, StimulusQuestion
0,Start,,99,
576.7131,,EndofStart,99,
576.7131,Calibration,,99,
580.5591,,EndofCalibration,99,
580.5591,Tutorial,,99,
1224.179,,EndofTutorial,99,
1224.179,Rest,,99,
1524.18,,EndofRest,99,
1524.238,Feedback,,99,
1535.936,Experimental,,99,
1551.548,Experimental,,0,_A1_CI_NSI_R180x
1569.32,Experimental,,1,_B1_CI_NSI_R0
1617.054,Experimental,,2,_A2_AC_SI_R180z
1661.351,Experimental,,3,_B2_AC_SI_R180x
1690.12,Feedback,,99,
1693.963,Experimental,,99,
1693.963,Experimental,,4,_A3_CI_NSI_R120z
1737.384,Experimental,,5,_B3_AC_SI_R180y
1768.795,Experimental,,6,_A4_AC_SI_R180x
1783.744,Experimental,,7,_B4_C_SI_R180y
1824.692,Feedback,,99,
1828.697,Experimental,,99,
1828.697,Experimental,,8,_A5_AC_SI_R180y
1856.062,Experimental,,9,_B5_C_SI_R120z
1893.914,Experimental,,10,_A6_AC_SI_R180z
1935.04,Experimental,,11,_B6_CI_NSI_R180x
1963.638,Feedback,,99,
1966.494,Experimental,,99,
1966.494,Experimental,,12,_A7_C_NSI_R180z
1985.736,Experimental,,13,_B7_AC_SI_R90z
2010.213,Experimental,,14,_A8_C_SI_R180y
2044.22,Experimental,,15,_B8_AC_SI_R60z
2059.307,Feedback,,99,
2063.112,Experimental,,99,
2063.112,Experimental,,16,_A9_C_NSI_R180y
2087.789,Experimental,,17,_B9_C_NSI_R90z
2105.748,Experimental,,18,_A10_C_SI_R180x
2144.233,Experimental,,19,_B10_C_NSI_R180x
2163.071,Feedback,,99,
2168.166,Experimental,,99,
2168.166,Experimental,,20,_A11_AC_SI_R180y
2187.543,Experimental,,21,_B11_CI_NSI_R120z
2207.079,Experimental,,22,_A12_C_NSI_R180x
2225.573,Experimental,,23,_B12_C_SI_R180x
2238.379,Feedback,,99,
2241.002,Experimental,,99,
2241.002,Experimental,,24,_A13_CI_NSI_R180x
2267.334,Experimental,,25,_B13_AC_SI_R180x
2282.7,Experimental,,26,_A14_AC_SI_R180x
2304.073,Experimental,,27,_B14_AC_SI_R180y
2320.354,Feedback,,99,
2323.492,Experimental,,99,
2323.492,Experimental,,28,_A15_C_SI_R120z
2342.639,Experimental,,29,_B15_CI_NSI_R180y
2364.334,Experimental,,30,_A16_CI_NSI_R0
2377.016,Experimental,,31,_B16_C_NSI_R180y
2398.275,Feedback,,99,
2401.395,,EndofExperiment,99,
