FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,4,649.3938,18.59753,Tutorial,BaselineAquisition
2,1,679.1984,4.027832,Tutorial,FindX
3,7,716.3004,7.148376,Tutorial,McDonalds
4,1,1080.346,14.68567,Rest,Control
5,6,1197.097,24.20544,Experimental,Control
6,2,1256.319,3.536011,Experimental,Control
7,3,1356.986,5.593506,Experimental,Control
8,2,1452.658,2.471802,Experimental,Control
9,3,1534.455,3.474976,Experimental,Control
10,4,1633.141,5.294189,Experimental,Control
11,6,1707.063,4.386597,Experimental,Control
12,7,1793.917,4.481079,Experimental,Control
