square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 101
,,,,,,,,,,,,,,,,,0.0013873999705538,0.0037078999448567,0.0037078999448567,0.0037078999448567,126.30743469996378,space,126.2981037000427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback2,1.0,2023-12-07_12h20.10.465,untitled,2023.2.3,59.97184923699001,2023-12-07 13h09.35.921550 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,128.32966949988622,,,,,,,,,,126.30747609992976,126.3221793998964,126.3221793998964,126.3221793998964,126.3221793998964,126.3221793998964,126.3221793998964,126.3221793998964,126.3221793998964,126.3221793998964,126.3221793998964,126.3221793998964,126.3221793998964,127.30594529991504,127.30595849989912,127.32223619997968,128.32966949988622,128.30660089990124,128.3278364998987,128.32966949988622,128.32966949988622,128.8054998998996,128.838921599905,131.3054638999747,131.3222937999526,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback2,1.0,2023-12-07_12h20.10.465,untitled,2023.2.3,59.97184923699001,2023-12-07 13h09.35.921550 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,131.33877799997572,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.3231721998891,131.33877799997572,131.33877799997572,131.8055792999221,131.83891369996127,134.30554139998276,134.3222546998877,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback2,1.0,2023-12-07_12h20.10.465,untitled,2023.2.3,59.97184923699001,2023-12-07 13h09.35.921550 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,134.3387609999627,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.32290349993855,134.3387609999627,134.3387609999627,134.80563359998632,134.83867459988687,137.3054615999572,137.32236489991192,space,1.0,0.4610974000534042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback2,1.0,2023-12-07_12h20.10.465,untitled,2023.2.3,59.97184923699001,2023-12-07 13h09.35.921550 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,137.33869359991513,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.3236453999998,137.33869359991513,137.33869359991513,137.80546199996024,137.83874319994356,140.30533569992986,140.32220289995894,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback2,1.0,2023-12-07_12h20.10.465,untitled,2023.2.3,59.97184923699001,2023-12-07 13h09.35.921550 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,140.33859289996326,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.32286799990106,140.33859289996326,140.33859289996326,140.80529619997833,140.83871629997157,143.30534559988882,143.32216489990242,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback2,1.0,2023-12-07_12h20.10.465,untitled,2023.2.3,59.97184923699001,2023-12-07 13h09.35.921550 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,143.33874109992755,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.3230083999224,143.33874109992755,143.33874109992755,143.8052483999636,143.83853319997434,146.30529819999356,146.32205839990638,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback2,1.0,2023-12-07_12h20.10.465,untitled,2023.2.3,59.97184923699001,2023-12-07 13h09.35.921550 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,146.33852979994845,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.32277869991958,146.33852979994845,146.33852979994845,146.80539439991117,146.83850439998787,149.30531559989322,149.32265099999495,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback2,1.0,2023-12-07_12h20.10.465,untitled,2023.2.3,59.97184923699001,2023-12-07 13h09.35.921550 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,149.33844159997534,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.32356969988905,149.33844159997534,149.33844159997534,149.80505859991536,149.83850339998023,152.30518489994574,152.32196249999106,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback2,1.0,2023-12-07_12h20.10.465,untitled,2023.2.3,59.97184923699001,2023-12-07 13h09.35.921550 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,152.33859659999143,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.32282059988938,152.33859659999143,152.33859659999143,152.80510059988592,152.83839289995376,155.30518719996326,155.32192889996804,space,1.0,0.36989370000083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback2,1.0,2023-12-07_12h20.10.465,untitled,2023.2.3,59.97184923699001,2023-12-07 13h09.35.921550 -0500,
